"magpiecell","basincode"
"MRT.319",23639
"MRT.320",23639
"MRT.321",23639
"MRT.322",24229
"MRT.323",23981
"MRT.324",23981
"MRT.325",23981
"MRT.326",24229
"MRT.327",24229
"MRT.328",24229
"MRT.329",24229
"MRT.330",24229
"MRT.331",24229
"MRT.332",24229
"MRT.333",23904
"ESH.334",23904
"ESH.335",23904
"ESH.336",23904
"LBR.337",24045
"SLE.338",23999
"SLE.339",24000
"SLE.340",23954
"SLE.341",23954
"SLE.342",23954
"SLE.343",23866
"GIN.344",27033
"GIN.345",27033
"GIN.346",23635
"GIN.347",23635
"MLI.348",23635
"MLI.349",23635
"MLI.350",23635
"MLI.351",23635
"MLI.352",23635
"MLI.353",23635
"MLI.354",23635
"MRT.355",23635
"MRT.356",23635
"MRT.357",23635
"MRT.358",24066
"MRT.359",24066
"MRT.360",23639
"MRT.361",23639
"MRT.362",23639
"MRT.363",24229
"MRT.364",24229
"MRT.365",24229
"MRT.366",23981
"MRT.367",24229
"MRT.368",24229
"MRT.369",24229
"MRT.370",24229
"MRT.371",24229
"MRT.372",24229
"MRT.373",24229
"MRT.374",24229
"MRT.375",24229
"ESH.376",23904
"ESH.377",23904
"ESH.378",23904
"LBR.379",24091
"LBR.380",24045
"SLE.381",23999
"SLE.382",24000
"SLE.383",24000
"SLE.384",23954
"GIN.385",27033
"GIN.386",27033
"GIN.387",27033
"GIN.388",27033
"GIN.389",23635
"MLI.390",23635
"MLI.391",23635
"MLI.392",23635
"MLI.393",23635
"MLI.394",23635
"MLI.395",23635
"MLI.396",23635
"MRT.397",23635
"MRT.398",23635
"MRT.399",23635
"MRT.400",24066
"MRT.401",24066
"MRT.402",24066
"MRT.403",23639
"MRT.404",24229
"MRT.405",24229
"MRT.406",24229
"MRT.407",24229
"MRT.408",24229
"MRT.409",24229
"MRT.410",24229
"MRT.411",24229
"MRT.412",24229
"MRT.413",24229
"MRT.414",24229
"MRT.415",24229
"MRT.416",24229
"MRT.417",24229
"ESH.418",23904
"ESH.419",23904
"ESH.420",23904
"LBR.421",24138
"LBR.422",24091
"LBR.423",24091
"LBR.424",24045
"LBR.425",24000
"GIN.426",24000
"GIN.427",27033
"GIN.428",27033
"GIN.429",27033
"GIN.430",27033
"GIN.431",27033
"GIN.432",27033
"MLI.433",23635
"MLI.434",23635
"MLI.435",23635
"MLI.436",23635
"MLI.437",23635
"MLI.438",23635
"MLI.439",23635
"MRT.440",23635
"MRT.441",24214
"MRT.442",24214
"MRT.443",24066
"MRT.444",24066
"MRT.445",24066
"MRT.446",24214
"MRT.447",24229
"MRT.448",24229
"MRT.449",24229
"MRT.450",24229
"MRT.451",24229
"MRT.452",24229
"MRT.453",24229
"MRT.454",24229
"MRT.455",24229
"MRT.456",24229
"MRT.457",24229
"MRT.458",24229
"MRT.459",24229
"MRT.460",24229
"ESH.461",24229
"ESH.462",23904
"ESH.463",23904
"LBR.464",24193
"LBR.465",24137
"LBR.466",24137
"LBR.467",24091
"LBR.468",24091
"LBR.469",24045
"GIN.470",24000
"GIN.471",27033
"GIN.472",27033
"GIN.473",27033
"GIN.474",27033
"GIN.475",27033
"GIN.476",23635
"MLI.477",23635
"MLI.478",23635
"MLI.479",23635
"MLI.480",23635
"MLI.481",23635
"MLI.482",23635
"MLI.483",23635
"MRT.484",24214
"MRT.485",24214
"MRT.486",24214
"MRT.487",24214
"MRT.488",24214
"MRT.489",24214
"MRT.490",24214
"MRT.491",24229
"MRT.492",24229
