"cell","IPCC","IPCC_reduced"
"AUS.54460","tropical_dry","tropical_dry"
"AUS.54461","tropical_dry","tropical_dry"
"AUS.54462","tropical_dry","tropical_dry"
"AUS.54463","tropical_dry","tropical_dry"
"AUS.54464","tropical_dry","tropical_dry"
"AUS.54465","tropical_dry","tropical_dry"
"AUS.54466","tropical_dry","tropical_dry"
"AUS.54467","tropical_dry","tropical_dry"
"AUS.54468","tropical_dry","tropical_dry"
"AUS.54469","tropical_dry","tropical_dry"
"AUS.54470","tropical_dry","tropical_dry"
"AUS.54471","tropical_dry","tropical_dry"
"AUS.54472","tropical_dry","tropical_dry"
"AUS.54473","tropical_dry","tropical_dry"
"AUS.54480","warm_temperate_dry","temperate_dry"
"AUS.54481","warm_temperate_dry","temperate_dry"
"AUS.54482","warm_temperate_dry","temperate_dry"
"AUS.54483","warm_temperate_dry","temperate_dry"
"AUS.54484","warm_temperate_dry","temperate_dry"
"AUS.54485","warm_temperate_dry","temperate_dry"
"AUS.54486","warm_temperate_dry","temperate_dry"
"AUS.54487","warm_temperate_dry","temperate_dry"
"AUS.54488","tropical_dry","tropical_dry"
"AUS.54489","tropical_dry","tropical_dry"
"AUS.54490","tropical_dry","tropical_dry"
"AUS.54491","tropical_dry","tropical_dry"
"AUS.54492","tropical_dry","tropical_dry"
"AUS.54493","tropical_dry","tropical_dry"
"AUS.54494","tropical_dry","tropical_dry"
"AUS.54495","tropical_dry","tropical_dry"
"AUS.54496","tropical_dry","tropical_dry"
"AUS.54497","tropical_dry","tropical_dry"
"AUS.54498","tropical_dry","tropical_dry"
"AUS.54499","tropical_dry","tropical_dry"
"AUS.54500","tropical_dry","tropical_dry"
"AUS.54501","tropical_dry","tropical_dry"
"AUS.54502","tropical_dry","tropical_dry"
"AUS.54503","tropical_dry","tropical_dry"
"AUS.54504","tropical_dry","tropical_dry"
"AUS.54505","tropical_dry","tropical_dry"
"AUS.54506","tropical_dry","tropical_dry"
"AUS.54507","tropical_dry","tropical_dry"
"AUS.54508","tropical_dry","tropical_dry"
"AUS.54509","tropical_dry","tropical_dry"
"AUS.54510","tropical_dry","tropical_dry"
"AUS.54511","tropical_dry","tropical_dry"
"AUS.54512","tropical_dry","tropical_dry"
"AUS.54513","tropical_dry","tropical_dry"
"AUS.54514","tropical_dry","tropical_dry"
"AUS.54515","tropical_dry","tropical_dry"
"AUS.54516","tropical_dry","tropical_dry"
