"cell","IPCC","IPCC_reduced"
"AUS.53809","tropical_dry","tropical_dry"
"AUS.53810","tropical_dry","tropical_dry"
"AUS.53811","tropical_dry","tropical_dry"
"AUS.53812","tropical_dry","tropical_dry"
"AUS.53813","tropical_dry","tropical_dry"
"AUS.53814","tropical_dry","tropical_dry"
"AUS.53815","tropical_dry","tropical_dry"
"AUS.53816","tropical_dry","tropical_dry"
"AUS.53817","tropical_dry","tropical_dry"
"AUS.53818","tropical_dry","tropical_dry"
"AUS.53819","tropical_dry","tropical_dry"
"AUS.53820","tropical_dry","tropical_dry"
"AUS.53821","tropical_dry","tropical_dry"
"AUS.53822","tropical_dry","tropical_dry"
"AUS.53823","tropical_dry","tropical_dry"
"AUS.53824","tropical_dry","tropical_dry"
"AUS.53825","tropical_dry","tropical_dry"
"AUS.53826","tropical_dry","tropical_dry"
"AUS.53827","tropical_dry","tropical_dry"
"AUS.53828","tropical_dry","tropical_dry"
"AUS.53829","tropical_dry","tropical_dry"
"AUS.53830","tropical_dry","tropical_dry"
"AUS.53831","tropical_dry","tropical_dry"
"AUS.53832","tropical_dry","tropical_dry"
"AUS.53833","tropical_dry","tropical_dry"
"AUS.53834","tropical_dry","tropical_dry"
"AUS.53835","tropical_dry","tropical_dry"
"AUS.53836","tropical_dry","tropical_dry"
"AUS.53837","tropical_dry","tropical_dry"
"AUS.53838","tropical_dry","tropical_dry"
"AUS.53839","tropical_dry","tropical_dry"
"AUS.53840","tropical_dry","tropical_dry"
"AUS.53841","tropical_dry","tropical_dry"
"AUS.53842","tropical_moist","tropical_moist"
"AUS.53843","tropical_moist","tropical_moist"
"AUS.53844","tropical_moist","tropical_moist"
"AUS.53845","tropical_moist","tropical_moist"
"AUS.53846","tropical_moist","tropical_moist"
"AUS.53851","warm_temperate_dry","temperate_dry"
"AUS.53852","tropical_dry","tropical_dry"
