"","X","CountryCode","RegionCode"
"1","Aruba","ABW","Free"
"2","Afghanistan","AFG","Free"
"3","Angola","AGO","PPCA"
"4","Anguilla","AIA","Free"
"5","Aland Islands","ALA","Free"
"6","Albania","ALB","PPCA"
"7","Andorra","AND","Free"
"8","United Arab Emirates","ARE","Free"
"9","Argentina","ARG","Free"
"10","Armenia","ARM","Free"
"11","American Samoa","ASM","Free"
"12","Antarctica","ATA","Free"
"13","French Southern Territories","ATF","Free"
"14","Antigua and Barbuda","ATG","Free"
"15","Australia","AUS","Free"
"16","Austria","AUT","PPCA"
"17","Azerbaijan","AZE","PPCA"
"18","Burundi","BDI","Free"
"19","Belgium","BEL","PPCA"
"20","Benin","BEN","Free"
"21","Bonaire, Sint Eustatius and Saba","BES","Free"
"22","Burkina Faso","BFA","Free"
"23","Bangladesh","BGD","Free"
"24","Bulgaria","BGR","Free"
"25","Bahrain","BHR","Free"
"26","Bahamas","BHS","Free"
"27","Bosnia and Herzegovina","BIH","Free"
"28","Saint Barthelemy","BLM","Free"
"29","Belarus","BLR","Free"
"30","Belize","BLZ","Free"
"31","Bermuda","BMU","Free"
"32","Bolivia, Plurinational State of","BOL","Free"
"33","Brazil","BRA","Free"
"34","Barbados","BRB","Free"
"35","Brunei Darussalam","BRN","Free"
"36","Bhutan","BTN","Free"
"37","Bouvet Island","BVT","Free"
"38","Botswana","BWA","Free"
"39","Central African Republic","CAF","Free"
"40","Canada","CAN","PPCA"
"41","Cocos (Keeling) Islands","CCK","Free"
"42","Switzerland","CHE","PPCA"
"43","Chile","CHL","PPCA"
"44","China","CHN","Free"
"45","Cote d Ivoire","CIV","Free"
"46","Cameroon","CMR","Free"
"47","Congo, the Democratic Republic of the","COD","Free"
"48","Congo","COG","Free"
"49","Cook Islands","COK","Free"
"50","Colombia","COL","Free"
"51","Comoros","COM","Free"
"52","Cape Verde","CPV","Free"
"53","Costa Rica","CRI","PPCA"
"54","Cuba","CUB","Free"
"55","Curacao","CUW","Free"
"56","Christmas Island","CXR","Free"
"57","Cayman Islands","CYM","Free"
"58","Cyprus","CYP","Free"
"59","Czech Republic","CZE","Free"
"60","Germany","DEU","PPCA"
"61","Djibouti","DJI","Free"
"62","Dominica","DMA","Free"
"63","Denmark","DNK","PPCA"
"64","Dominican Republic","DOM","Free"
"65","Algeria","DZA","Free"
"66","Ecuador","ECU","Free"
"67","Egypt","EGY","Free"
"68","Eritrea","ERI","Free"
"69","Western Sahara","ESH","Free"
"70","Spain","ESP","PPCA"
"71","Estonia","EST","PPCA"
"72","Ethiopia","ETH","PPCA"
"73","Finland","FIN","PPCA"
"74","Fiji","FJI","PPCA"
"75","Falkland Islands (Malvinas)","FLK","Free"
"76","France","FRA","PPCA"
"77","Faroe Islands","FRO","Free"
"78","Micronesia, Federated States of","FSM","Free"
"79","Gabon","GAB","Free"
"80","United Kingdom","GBR","PPCA"
"81","Georgia","GEO","Free"
"82","Guernsey","GGY","Free"
"83","Ghana","GHA","Free"
"84","Gibraltar","GIB","Free"
"85","Guinea","GIN","Free"
"86","Guadeloupe","GLP","Free"
"87","Gambia","GMB","Free"
"88","Guinea-Bissau","GNB","Free"
"89","Equatorial Guinea","GNQ","Free"
"90","Greece","GRC","PPCA"
"91","Grenada","GRD","Free"
"92","Greenland","GRL","Free"
"93","Guatemala","GTM","Free"
"94","French Guiana","GUF","Free"
"95","Guam","GUM","Free"
"96","Guyana","GUY","Free"
"97","Hong Kong","HKG","Free"
"98","Heard Island and McDonald Islands","HMD","Free"
"99","Honduras","HND","Free"
"100","Croatia","HRV","PPCA"
"101","Haiti","HTI","Free"
"102","Hungary","HUN","PPCA"
"103","Indonesia","IDN","Free"
"104","Isle of Man","IMN","Free"
"105","India","IND","Free"
"106","British Indian Ocean Territory","IOT","Free"
"107","Ireland","IRL","PPCA"
"108","Iran, Islamic Republic of","IRN","Free"
"109","Iraq","IRQ","Free"
"110","Iceland","ISL","Free"
"111","Israel","ISR","PPCA"
"112","Italy","ITA","PPCA"
"113","Jamaica","JAM","Free"
"114","Jersey","JEY","Free"
"115","Jordan","JOR","Free"
"116","Japan","JPN","Free"
"117","Kazakhstan","KAZ","Free"
"118","Kenya","KEN","Free"
"119","Kyrgyzstan","KGZ","Free"
"120","Cambodia","KHM","Free"
"121","Kiribati","KIR","Free"
"122","Saint Kitts and Nevis","KNA","Free"
"123","Korea, Republic of","KOR","Free"
"124","Kuwait","KWT","Free"
"125","Lao People's Democratic Republic","LAO","Free"
"126","Lebanon","LBN","Free"
"127","Liberia","LBR","Free"
"128","Libya","LBY","Free"
"129","Saint Lucia","LCA","Free"
"130","Liechtenstein","LIE","PPCA"
"131","Sri Lanka","LKA","Free"
