CountryCode;RegionCode
AUS;Canada Australia New Zealand
CAN;Canada Australia New Zealand
HMD;Canada Australia New Zealand
NZL;Canada Australia New Zealand
SPM;Canada Australia New Zealand
CHN;China and Taiwan
HKG;China and Taiwan
MAC;China and Taiwan
TWN;China and Taiwan
AUT;EU 28
BEL;EU 28
BGR;EU 28
HRV;EU 28
CYP;EU 28
CZE;EU 28
DNK;EU 28
EST;EU 28
FRO;EU 28
FIN;EU 28
FRA;EU 28
DEU;EU 28
GIB;EU 28
GRC;EU 28
GGY;EU 28
HUN;EU 28
IRL;EU 28
IMN;EU 28
ITA;EU 28
JEY;EU 28
LVA;EU 28
LTU;EU 28
LUX;EU 28
MLT;EU 28
NLD;EU 28
POL;EU 28
PRT;EU 28
ROU;EU 28
SVK;EU 28
SVN;EU 28
ESP;EU 28
SWE;EU 28
GBR;EU 28
ALA;EU 28
IND;India
JPN;Japan
AIA;Latin America and the Caribbean
ATA;Latin America and the Caribbean
ATG;Latin America and the Caribbean
ARG;Latin America and the Caribbean
ABW;Latin America and the Caribbean
BHS;Latin America and the Caribbean
BRB;Latin America and the Caribbean
BLZ;Latin America and the Caribbean
BMU;Latin America and the Caribbean
BOL;Latin America and the Caribbean
BES;Latin America and the Caribbean
BVT;Latin America and the Caribbean
BRA;Latin America and the Caribbean
VGB;Latin America and the Caribbean
CYM;Latin America and the Caribbean
CHL;Latin America and the Caribbean
COL;Latin America and the Caribbean
CRI;Latin America and the Caribbean
CUB;Latin America and the Caribbean
CUW;Latin America and the Caribbean
DMA;Latin America and the Caribbean
DOM;Latin America and the Caribbean
ECU;Latin America and the Caribbean
SLV;Latin America and the Caribbean
FLK;Latin America and the Caribbean
GUF;Latin America and the Caribbean
GRD;Latin America and the Caribbean
GLP;Latin America and the Caribbean
GTM;Latin America and the Caribbean
GUY;Latin America and the Caribbean
HTI;Latin America and the Caribbean
HND;Latin America and the Caribbean
JAM;Latin America and the Caribbean
MTQ;Latin America and the Caribbean
MEX;Latin America and the Caribbean
MSR;Latin America and the Caribbean
NIC;Latin America and the Caribbean
PAN;Latin America and the Caribbean
PRY;Latin America and the Caribbean
PER;Latin America and the Caribbean
PRI;Latin America and the Caribbean
BLM;Latin America and the Caribbean
KNA;Latin America and the Caribbean
LCA;Latin America and the Caribbean
MAF;Latin America and the Caribbean
VCT;Latin America and the Caribbean
SXM;Latin America and the Caribbean
SGS;Latin America and the Caribbean
SUR;Latin America and the Caribbean
TTO;Latin America and the Caribbean
TCA;Latin America and the Caribbean
VIR;Latin America and the Caribbean
URY;Latin America and the Caribbean
VEN;Latin America and the Caribbean
DZA;Middle East and North Africa
BHR;Middle East and North Africa
EGY;Middle East and North Africa
