X;CountryCode;RegionCode;
1;Aruba;ABW;LAM
2;Afghanistan;AFG;OthAsia
3;Angola;AGO;MAF
4;Anguilla;AIA;LAM
5;Aland Islands;ALA;Europe
6;Albania;ALB;Europe
7;Andorra;AND;Europe
8;United Arab Emirates;ARE;MAF
9;Argentina;ARG;LAM
10;Armenia;ARM;RefEcon.
11;American Samoa;ASM;OthAsia
12;Antarctica;ATA;LAM
13;French Southern Territories;ATF;OthAsia
14;Antigua and Barbuda;ATG;LAM
15;Australia;AUS;OthOECD
16;Austria;AUT;Europe
17;Azerbaijan;AZE;RefEcon.
18;Burundi;BDI;MAF
19;Belgium;BEL;Europe
20;Benin;BEN;MAF
21;Bonaire, Sint Eustatius and Saba;BES;LAM
22;Burkina Faso;BFA;MAF
23;Bangladesh;BGD;OthAsia
24;Bulgaria;BGR;Europe
25;Bahrain;BHR;MAF
26;Bahamas;BHS;LAM
27;Bosnia and Herzegovina;BIH;Europe
28;Saint Barthelemy;BLM;LAM
29;Belarus;BLR;RefEcon.
30;Belize;BLZ;LAM
31;Bermuda;BMU;LAM
32;Bolivia, Plurinational State of;BOL;LAM
33;Brazil;BRA;LAM
34;Barbados;BRB;LAM
35;Brunei Darussalam;BRN;OthAsia
36;Bhutan;BTN;OthAsia
37;Bouvet Island;BVT;LAM
38;Botswana;BWA;MAF
39;Central African Republic;CAF;MAF
40;Canada;CAN;OthOECD
41;Cocos (Keeling) Islands;CCK;OthAsia
42;China;CHN;China
43;Switzerland;CHE;Europe
44;Chile;CHL;LAM
45;Cote d Ivoire;CIV;MAF
46;Cameroon;CMR;MAF
47;Congo, the Democratic Republic of the;COD;MAF
48;Congo;COG;MAF
49;Cook Islands;COK;OthAsia
50;Colombia;COL;LAM
51;Comoros;COM;MAF
52;Cape Verde;CPV;MAF
53;Costa Rica;CRI;LAM
54;Cuba;CUB;LAM
55;Curacao;CUW;LAM
56;Christmas Island;CXR;OthAsia
57;Cayman Islands;CYM;LAM
58;Cyprus;CYP;Europe
59;Czech Republic;CZE;Europe
60;Germany;DEU;Europe
61;Djibouti;DJI;MAF
62;Dominica;DMA;LAM
63;Denmark;DNK;Europe
64;Dominican Republic;DOM;LAM
65;Algeria;DZA;MAF
66;Ecuador;ECU;LAM
67;Egypt;EGY;MAF
68;Eritrea;ERI;MAF
69;Western Sahara;ESH;MAF
70;Spain;ESP;Europe
