fromISO;toISO;lastYear
SUN;ARM;y1989
SUN;AZE;y1989
SUN;BLR;y1989
SUN;EST;y1989
SUN;GEO;y1989
SUN;KAZ;y1989
SUN;KGZ;y1989
SUN;LVA;y1989
SUN;LTU;y1989
SUN;MDA;y1989
SUN;RUS;y1989
SUN;TJK;y1989
SUN;TKM;y1989
SUN;UKR;y1989
SUN;UZB;y1989
CSK;CZE;y1993
CSK;SVK;y1993
YUG;SRB;y1993
YUG;SVN;y1993
YUG;HRV;y1993
YUG;MKD;y1993
YUG;BIH;y1993
