X;CountryCode;RegionCode
Aruba;ABW;Free
Afghanistan;AFG;Free
Angola;AGO;PPCA
Anguilla;AIA;Free
Aland Islands;ALA;Free
Albania;ALB;PPCA
Andorra;AND;Free
United Arab Emirates;ARE;Free
Argentina;ARG;Free
Armenia;ARM;Free
American Samoa;ASM;Free
Antarctica;ATA;Free
French Southern Territories;ATF;Free
Antigua and Barbuda;ATG;Free
Australia;AUS;Free
Austria;AUT;PPCA
Azerbaijan;AZE;Free
Burundi;BDI;Free
Belgium;BEL;PPCA
Benin;BEN;Free
Bonaire, Sint Eustatius and Saba;BES;Free
Burkina Faso;BFA;Free
Bangladesh;BGD;Free
Bulgaria;BGR;Free
Bahrain;BHR;Free
Bahamas;BHS;Free
Bosnia and Herzegovina;BIH;Free
Saint Barthelemy;BLM;Free
Belarus;BLR;Free
Belize;BLZ;Free
Bermuda;BMU;Free
Bolivia, Plurinational State of;BOL;Free
Brazil;BRA;Free
Barbados;BRB;Free
Brunei Darussalam;BRN;Free
Bhutan;BTN;Free
Bouvet Island;BVT;Free
Botswana;BWA;Free
Central African Republic;CAF;Free
Canada;CAN;PPCA
Cocos (Keeling) Islands;CCK;Free
Switzerland;CHE;PPCA
Chile;CHL;Free
China;CHN;Free
Cote d Ivoire;CIV;Free
Cameroon;CMR;Free
Congo, the Democratic Republic of the;COD;Free
Congo;COG;Free
Cook Islands;COK;Free
Colombia;COL;Free
Comoros;COM;Free
Cape Verde;CPV;Free
Costa Rica;CRI;PPCA
Cuba;CUB;Free
Curacao;CUW;Free
Christmas Island;CXR;Free
Cayman Islands;CYM;Free
Cyprus;CYP;Free
Czech Republic;CZE;Free
Germany;DEU;PPCA
Djibouti;DJI;Free
Dominica;DMA;Free
Denmark;DNK;PPCA
Dominican Republic;DOM;Free
Algeria;DZA;Free
Ecuador;ECU;Free
Egypt;EGY;Free
Eritrea;ERI;Free
Western Sahara;ESH;Free
Spain;ESP;PPCA
Estonia;EST;Free
Ethiopia;ETH;PPCA
Finland;FIN;PPCA
Fiji;FJI;PPCA
Falkland Islands (Malvinas);FLK;Free
France;FRA;PPCA
Faroe Islands;FRO;Free
Micronesia, Federated States of;FSM;Free
Gabon;GAB;Free
United Kingdom;GBR;PPCA
Georgia;GEO;Free
Guernsey;GGY;Free
Ghana;GHA;Free
Gibraltar;GIB;Free
Guinea;GIN;Free
Guadeloupe;GLP;Free
Gambia;GMB;Free
Guinea-Bissau;GNB;Free
Equatorial Guinea;GNQ;Free
Greece;GRC;PPCA
Grenada;GRD;Free
