reportingnames,svg objectnames
Demand|Domestic Balanceflow|+|Livestock products (Mt Nr/yr),utilization_balanceflow
Demand|Domestic Balanceflow|+|Fish (Mt Nr/yr),utilization_balanceflow
Demand|Food|+|Livestock products (Mt Nr/yr),utilization_food_animal
Demand|Food|+|Fish (Mt Nr/yr),utilization_food_animal
Demand|Food|+|Crops (Mt Nr/yr),utilization_food_crops
Demand|Food|+|Forage (Mt Nr/yr),utilization_food_crops
Demand|Food|+|Secondary products (Mt Nr/yr),utilization_food_secondary
Demand|Material|+|Crops (Mt Nr/yr),utilization_material
Demand|Bioenergy|+|Crops (Mt Nr/yr),utilization_material
Demand|Material|+|Forage (Mt Nr/yr),utilization_material
Demand|Bioenergy|+|Forage (Mt Nr/yr),utilization_material
Demand|Material|+|Secondary products (Mt Nr/yr),utilization_material
Demand|Bioenergy|+|Secondary products (Mt Nr/yr),utilization_material
Demand|Material|+|Crop residues (Mt Nr/yr),utilization_material
Demand|Bioenergy|+|Crop residues (Mt Nr/yr),utilization_material
Demand|Material|+|Livestock products (Mt Nr/yr),utilization_material
Demand|Bioenergy|+|Livestock products (Mt Nr/yr),utilization_material
Demand|Material|+|Fish (Mt Nr/yr),utilization_material
Demand|Bioenergy|+|Fish (Mt Nr/yr),utilization_material
Demand|Feed|Feed for Poultry meat|+|Livestock products (Mt Nr/yr),utilization_monogastrics_animal
Demand|Feed|Feed for Eggs|+|Livestock products (Mt Nr/yr),utilization_monogastrics_animal
Demand|Feed|Feed for Monogastric meat|+|Livestock products (Mt Nr/yr),utilization_monogastrics_animal
Demand|Feed|Feed for Poultry meat|+|Fish (Mt Nr/yr),utilization_monogastrics_animal
Demand|Feed|Feed for Eggs|+|Fish (Mt Nr/yr),utilization_monogastrics_animal
Demand|Feed|Feed for Monogastric meat|+|Fish (Mt Nr/yr),utilization_monogastrics_animal
Demand|Feed|Feed for Poultry meat|+|Crops (Mt Nr/yr),utilization_monogastrics_crops
Demand|Feed|Feed for Eggs|+|Crops (Mt Nr/yr),utilization_monogastrics_crops
Demand|Feed|Feed for Monogastric meat|+|Crops (Mt Nr/yr),utilization_monogastrics_crops
Demand|Feed|Feed for Poultry meat|+|Forage (Mt Nr/yr),utilization_monogastrics_forage
Demand|Feed|Feed for Eggs|+|Forage (Mt Nr/yr),utilization_monogastrics_forage
Demand|Feed|Feed for Monogastric meat|+|Forage (Mt Nr/yr),utilization_monogastrics_forage
Demand|Feed|Feed for Poultry meat|+|Crop residues (Mt Nr/yr),utilization_monogastrics_forage
Demand|Feed|Feed for Eggs|+|Crop residues (Mt Nr/yr),utilization_monogastrics_forage
Demand|Feed|Feed for Monogastric meat|+|Crop residues (Mt Nr/yr),utilization_monogastrics_forage
Demand|Feed|Feed for Aquaculture|+|Secondary products (Mt Nr/yr),utilization_monogastrics_secondary
Demand|Feed|Feed for Poultry meat|+|Secondary products (Mt Nr/yr),utilization_monogastrics_secondary
Demand|Feed|Feed for Dairy|+|Secondary products (Mt Nr/yr),utilization_monogastrics_secondary
Demand|Processing|+|Crops (Mt Nr/yr),utilization_processing
Demand|Processing|+|Forage (Mt Nr/yr),utilization_processing
Demand|Processing|+|Secondary products (Mt Nr/yr),utilization_processing
Demand|Processing|+|Crop residues (Mt Nr/yr),utilization_processing
Demand|Processing|+|Livestock products (Mt Nr/yr),utilization_processing
Demand|Processing|+|Fish (Mt Nr/yr),utilization_processing
Demand|Feed|Feed for Dairy|+|Livestock products (Mt Nr/yr),utilization_ruminants_animal
Demand|Feed|Feed for Ruminant meat|+|Livestock products (Mt Nr/yr),utilization_ruminants_animal
Demand|Feed|Feed for Dairy|+|Fish (Mt Nr/yr),utilization_ruminants_animal
Demand|Feed|Feed for Ruminant meat|+|Fish (Mt Nr/yr),utilization_ruminants_animal
Demand|Feed|Feed for Dairy|+|Crops (Mt Nr/yr),utilization_ruminants_crops
Demand|Feed|Feed for Ruminant meat|+|Crops (Mt Nr/yr),utilization_ruminants_crops
Demand|Feed|Feed for Dairy|+|Forage (Mt Nr/yr),utilization_ruminants_forage
Demand|Feed|Feed for Ruminant meat|+|Forage (Mt Nr/yr),utilization_ruminants_forage
Demand|Feed|Feed for Dairy|+|Crop residues (Mt Nr/yr),utilization_ruminants_forage
Demand|Feed|Feed for Ruminant meat|+|Crop residues (Mt Nr/yr),utilization_ruminants_forage
Demand|Feed|Feed for Eggs|+|Secondary products (Mt Nr/yr),utilization_ruminants_secondary
Demand|Feed|Feed for Monogastric meat|+|Secondary products (Mt Nr/yr),utilization_ruminants_secondary
Demand|Seed|+|Crops (Mt Nr/yr),utilization_seed
Demand|Seed|+|Forage (Mt Nr/yr),utilization_seed
Demand|Seed|+|Secondary products (Mt Nr/yr),utilization_seed
Trade|Exports|+|Livestock products (Mt Nr/yr),utilization_trade_animal
Trade|Exports|+|Fish (Mt Nr/yr),utilization_trade_animal
Trade|Exports|+|Crops (Mt Nr/yr),utilization_trade_crops
Trade|Exports|+|Bioenergy crops (Mt Nr/yr),utilization_trade_crops
Trade|Exports|+|Secondary products (Mt Nr/yr),utilization_trade_secondary
Demand|Agricultural Supply Chain Loss|+|Crops (Mt Nr/yr),utilization_waste
Demand|Agricultural Supply Chain Loss|+|Forage (Mt Nr/yr),utilization_waste
Demand|Agricultural Supply Chain Loss|+|Secondary products (Mt Nr/yr),utilization_waste
Demand|Agricultural Supply Chain Loss|+|Crop residues (Mt Nr/yr),utilization_waste
Demand|Agricultural Supply Chain Loss|+|Livestock products (Mt Nr/yr),utilization_waste
Demand|Agricultural Supply Chain Loss|+|Fish (Mt Nr/yr),utilization_waste
Emissions|direct N2O-N emissions|+|Industry (Mt Nr/yr),industry_n2o
Emissions|direct N2O-N emissions|+|Landuse Change and Biomass Combustion (Mt Nr/yr),luc_n2o
Emissions|direct N2O-N emissions|+|Sewage (Mt Nr/yr),sewageloss_n2o
Emissions|direct N2O-N emissions|+|Transport (Mt Nr/yr),transport_n2o
Emissions|direct N2O-N emissions|+|Chemical Industry (Mt Nr/yr),fertilizer_n2o
Emissions|direct N2O-N emissions|+|Waste disposal (Mt Nr/yr),sewageloss_n2o
Emissions|direct N2O-N emissions|Agriculture|+|Animal waste management (Mt Nr/yr),awmsloss_n2o
Emissions|direct N2O-N emissions|Agriculture|+|Cropland soil emissions (Mt Nr/yr),surplus_n2o
Emissions|direct N2O-N emissions|Agriculture|+|Pasture soil emissions (Mt Nr/yr),pasturesurplus_n2o
Emissions|direct N2O-N emissions|Natural and indirect emissions|+|Non-agricultural soil emissions (Mt Nr/yr),othersoilsloss_n2o
Emissions|direct N2O-N emissions|Natural and indirect emissions|+|Inland freshwater bodies (Mt Nr/yr),water_air_n2o
Emissions|direct N2O-N emissions|Natural and indirect emissions|+|Oceans (Mt Nr/yr),oceans_air_n2o
Emissions|direct N2O-N emissions|Natural and indirect emissions|+|Riparian Zones (Mt Nr/yr),water_air_n2o
Emissions|N2-N|Agriculture|+|Animal waste management (Mt Nr/yr),awmsloss_n2
Emissions|N2-N|Agriculture|+|Cropland soil emissions (Mt Nr/yr),surplus_n2
Emissions|N2-N|Agriculture|+|Pasture soil emissions (Mt Nr/yr),pasturesurplus_n2
Emissions|N2-N|Natural and indirect emissions|+|Non-agricultural soil emissions (Mt Nr/yr),othersoilsloss_n2
Emissions|N2-N|Natural and indirect emissions|+|Inland freshwater bodies (Mt Nr/yr),water_air_n2
Emissions|N2-N|Natural and indirect emissions|+|Oceans (Mt Nr/yr),oceans_air_n2
Emissions|N2-N|Natural and indirect emissions|+|Riparian Zones (Mt Nr/yr),water_air_n2
Emissions|NH3-N|+|Industry (Mt Nr/yr),industry_volat
Emissions|NH3-N|+|Landuse Change and Biomass Combustion (Mt Nr/yr),luc_volat
Emissions|NH3-N|+|Sewage (Mt Nr/yr),sewageloss_volat
Emissions|NH3-N|+|Transport (Mt Nr/yr),transport_volat
Emissions|NH3-N|+|Chemical Industry (Mt Nr/yr),fertilizer_volat
Emissions|NH3-N|+|Waste disposal (Mt Nr/yr),sewageloss_volat
Emissions|NH3-N|Agriculture|+|Animal waste management (Mt Nr/yr),awmsloss_volat
Emissions|NH3-N|Agriculture|+|Cropland soil emissions (Mt Nr/yr),surplus_volat
Emissions|NH3-N|Agriculture|+|Pasture soil emissions (Mt Nr/yr),pasturesurplus_volat
Emissions|NH3-N|Natural and indirect emissions|+|Non-agricultural soil emissions (Mt Nr/yr),othersoilsloss_volat
Emissions|NH3-N|Natural and indirect emissions|+|Inland freshwater bodies (Mt Nr/yr),
Emissions|NH3-N|Natural and indirect emissions|+|Oceans (Mt Nr/yr),oceans_air_volat
Emissions|NH3-N|Natural and indirect emissions|+|Riparian Zones (Mt Nr/yr),
Emissions|NO2-N|+|Industry (Mt Nr/yr),industry_volat
Emissions|NO2-N|+|Landuse Change and Biomass Combustion (Mt Nr/yr),luc_volat
Emissions|NO2-N|+|Sewage (Mt Nr/yr),sewageloss_volat
Emissions|NO2-N|+|Transport (Mt Nr/yr),transport_volat
Emissions|NO2-N|+|Chemical Industry (Mt Nr/yr),fertilizer_volat
Emissions|NO2-N|+|Waste disposal (Mt Nr/yr),sewageloss_volat
Emissions|NO2-N|Natural and indirect emissions|+|Non-agricultural soil emissions (Mt Nr/yr),othersoilsloss_volat
Emissions|NO2-N|Agriculture|+|Animal waste management (Mt Nr/yr),awmsloss_volat
Emissions|NO2-N|Agriculture|+|Cropland soil emissions (Mt Nr/yr),surplus_volat
Emissions|NO2-N|Agriculture|+|Pasture soil emissions (Mt Nr/yr),pasturesurplus_volat
Emissions|NO2-N|Natural and indirect emissions|+|Inland freshwater bodies (Mt Nr/yr),
Emissions|NO2-N|Natural and indirect emissions|+|Lightning (Mt Nr/yr),
Emissions|NO2-N|Natural and indirect emissions|+|Oceans (Mt Nr/yr),oceans_air_volat
Emissions|NO2-N|Natural and indirect emissions|+|Riparian Zones (Mt Nr/yr),
Emissions|NO3-N|+|Industry (Mt Nr/yr),
Emissions|NO3-N|+|Landuse Change and Biomass Combustion (Mt Nr/yr),
Emissions|NO3-N|+|Sewage (Mt Nr/yr),
Emissions|NO3-N|+|Transport (Mt Nr/yr),
Emissions|NO3-N|+|Chemical Industry (Mt Nr/yr),
Emissions|NO3-N|+|Waste disposal (Mt Nr/yr),
Emissions|NO3-N|Natural and indirect emissions|+|Non-agricultural soil emissions (Mt Nr/yr),othersoilsloss_no3
Emissions|NO3-N|Agriculture|+|Animal waste management (Mt Nr/yr),awmsloss_water
Emissions|NO3-N|Agriculture|+|Cropland soil emissions (Mt Nr/yr),surplus_water
Emissions|NO3-N|Agriculture|+|Pasture soil emissions (Mt Nr/yr),pasturesurplus_water
Emissions|direct N2O-N emissions (Mt Nr/yr),
Emissions|indirect N2O-N emissions from leaching and volatilisation (Mt Nr/yr),
Emissions|NH3-N (Mt Nr/yr),
Emissions|NO2-N (Mt Nr/yr),
Emissions|NO3-N (Mt Nr/yr),
Emissions|N2-N (Mt Nr/yr),
Emissions|Agriculture|NH3-N (Mt Nr/yr),
Emissions|Agriculture|NO2-N (Mt Nr/yr),
Emissions|Agriculture|NO3-N (Mt Nr/yr),
Emissions|Agriculture|direct N2O-N emissions (Mt Nr/yr),
Emissions|Agriculture|N2-N (Mt Nr/yr),
Emissions|Agriculture|indirect N2O-N emissions from leaching and volatilisation (Mt Nr/yr),
Resources|Nitrogen|Terrestrial Atmospheric Deposition|++|NO2-N (Mt Nr/yr),
Resources|Nitrogen|Terrestrial Atmospheric Deposition|++|NH3-N (Mt Nr/yr),
Resources|Nitrogen|Livestock Budget|Livestock Products (Mt Nr/yr),
Resources|Nitrogen|Livestock Budget|Manure (Mt Nr/yr),
Resources|Nitrogen|Livestock Budget|Slaughter Waste (Mt Nr/yr),
Resources|Nitrogen|Livestock Budget|Livestock Products|+|Poultry meat (Mt Nr/yr),
Resources|Nitrogen|Livestock Budget|Livestock Products|+|Eggs (Mt Nr/yr),
Resources|Nitrogen|Livestock Budget|Livestock Products|+|Dairy (Mt Nr/yr),
Resources|Nitrogen|Livestock Budget|Livestock Products|+|Monogastric meat (Mt Nr/yr),
Resources|Nitrogen|Livestock Budget|Livestock Products|+|Ruminant meat (Mt Nr/yr),
Resources|Nitrogen|Livestock Budget|Manure|+|Poultry meat (Mt Nr/yr),
Resources|Nitrogen|Livestock Budget|Manure|+|Eggs (Mt Nr/yr),
Resources|Nitrogen|Livestock Budget|Manure|+|Dairy (Mt Nr/yr),
Resources|Nitrogen|Livestock Budget|Manure|+|Monogastric meat (Mt Nr/yr),
Resources|Nitrogen|Livestock Budget|Manure|+|Ruminant meat (Mt Nr/yr),
Resources|Nitrogen|Livestock Budget|Slaughter Waste|+|Poultry meat (Mt Nr/yr),monogastrics_waste
Resources|Nitrogen|Livestock Budget|Slaughter Waste|+|Eggs (Mt Nr/yr),monogastrics_waste
Resources|Nitrogen|Livestock Budget|Slaughter Waste|+|Dairy (Mt Nr/yr),ruminants_waste
Resources|Nitrogen|Livestock Budget|Slaughter Waste|+|Monogastric meat (Mt Nr/yr),monogastrics_waste
Resources|Nitrogen|Livestock Budget|Slaughter Waste|+|Ruminant meat (Mt Nr/yr),ruminants_waste
Resources|Nitrogen|Food Consumption (Mt Nr/yr),
Resources|Nitrogen|Food Consumption|+|Intake (Mt Nr/yr),food_intake
Resources|Nitrogen|Wastewater (Mt Nr/yr),intake_sewageloss
Resources|Nitrogen|Food Consumption|+|Household Food Waste (Mt Nr/yr),food_waste
Resources|Nitrogen|+|Food Processing and Marketing (Mt Nr/yr),
