MagPIE,GGCMI
maiz,mai
Springwheat,swh
Winterwheat,wwh
tece,wheat
Rice1,ri1
Rice2,rice_pro
tece,bar
tece,rye
trce,mil
trce,sor
soybean,soy
sunflower,sun
potato,pot
cassav_sp,cas
sugr_cane,sgc
sugr_beet,sgb
rapeseed,rap
groundnut,nut
puls_pro,bea
puls_pro,pea
cottn_pro,cot
