"Year(s)","Efficiency factor"
" 1965-2000",0.360000
2001,0.362000
2002,0.365000
2003,0.367000
2004,0.369000
2005,0.372000
2006,0.374000
2007,0.376000
2008,0.379000
2009,0.381000
2010,0.384000
2011,0.386000
2012,0.388000
2013,0.391000
2014,0.393000
2015,0.395000
2016,0.398000
2017,0.400000
2018,0.402000
2019,0.404000
2020,0.405000
