MAgPIE,WBGEM
alcohol,
begr,
betr,
brans,
cassav_sp,
cottn_pro,COTTON_A_INDX
distillers_grain,
ethanol,
fibres,
fish,FISH_MEAL
foddr,
groundnut,
livst_chick,CHICKEN
livst_egg,
livst_milk,
livst_pig,
livst_rum,BEEF_SHEEP
maiz,MAIZE
molasses,
oils,GRNUT_OIL
oils,PALM_OIL
oils,SOYBEAN_OIL
oils,PLMKRNL_OIL
oils,COCONUT_OIL
oilcakes,SOYBEAN_MEAL
oilpalm,
others,BANA_ORNG
others,COCOA
others,COFFEE_AVERAGE
others,TEA_AVG
pasture,
potato,
puls_pro,
rapeseed,
res_cereals,
res_fibrous,
res_nonfibrous,
rice_pro,RICE_AVERAGE
scp,
soybean,SOYBEANS
sugar,SUGAR_WLD
sugr_beet,
sugr_cane,
sunflower,
tece,WHEAT_BARLEY
trce,SORGHUM
wood,
woodfuel,
