lutz,hic
0--4,0-4
5--9,5-9
10--14,10-14
15--19,15-19
20--24,AG1
25--29,AG1
30--34,AG2
35--39,AG2
40--44,AG2
45--49,AG2
50--54,AG2
55--59,AG2
60--64,AG3
65--69,AG3
70--74,AG3
75--79,AG3
80--84,AG4
85--89,AG4
90--94,AG4
95--99,AG4
100+,AG4
All,All
