feSolid_set,ECLIPSE_aggregated
pecoal.sesofos.coaltr,End_Use_Industry_Coal
pecoal.sesofos.coaltr,End_Use_Residential_Coal
pecoal.sesofos.coaltr,End_Use_Services_Coal
pebiolc.sesobio.biotr,End_Use_Industry_Bio_Trad
pebiolc.sesobio.biotr,End_Use_Residential_Bio_Trad
pebiolc.sesobio.biotr,End_Use_Services_Bio_Trad
pebiolc.sesobio.biotrmod,End_Use_Residential_Bio_Mod
