FAOoriginalItem_fromWebsite,FAOaggregatedItem_fromWebsite,ProductionItem,FoodBalanceItem,k,comment
205|Vetches,"2549|Pulses, Other and products",205|Vetches,"2549|Pulses, Other and products",puls_pro,
210|Lupins,"2549|Pulses, Other and products",210|Lupins,"2549|Pulses, Other and products",puls_pro,
"211|Pulses, nes","2549|Pulses, Other and products","211|Pulses, nes","2549|Pulses, Other and products",puls_pro,
270|Rapeseed,2558|Rape and Mustardseed,270|Rapeseed,2558|Rape and Mustardseed,rapeseed,
292|Mustard seed,2558|Rape and Mustardseed,292|Mustard seed,2558|Rape and Mustardseed,rapeseed,
249|Coconuts,2560|Coconuts - Incl Copra,249|Coconuts,2560|Coconuts - Incl Copra,rapeseed,
289|Sesame seed,2561|Sesame seed,289|Sesame seed,2561|Sesame seed,rapeseed,
260|Olives,2563|Olives (including preserved),260|Olives,2563|Olives (including preserved),rapeseed,
263|Karite nuts (sheanuts),"2570|Oilcrops, Other",263|Karite nuts (sheanuts),"2570|Oilcrops, Other",rapeseed,
265|Castor oil seed,"2570|Oilcrops, Other",265|Castor oil seed,"2570|Oilcrops, Other",rapeseed,
275|Tung nuts,"2570|Oilcrops, Other",275|Tung nuts,"2570|Oilcrops, Other",rapeseed,
277|Jojoba seed,"2570|Oilcrops, Other",277|Jojoba seed,"2570|Oilcrops, Other",rapeseed,
280|Safflower seed,"2570|Oilcrops, Other",280|Safflower seed,"2570|Oilcrops, Other",rapeseed,
296|Poppy seed,"2570|Oilcrops, Other",296|Poppy seed,"2570|Oilcrops, Other",rapeseed,
299|Melonseed,"2570|Oilcrops, Other",299|Melonseed,"2570|Oilcrops, Other",rapeseed,
305|Tallowtree seed,"2570|Oilcrops, Other",305|Tallowtree seed,"2570|Oilcrops, Other",rapeseed,
310|Kapok fruit,"2570|Oilcrops, Other",310|Kapok fruit,"2570|Oilcrops, Other",rapeseed,
311|Kapokseed in shell,"2570|Oilcrops, Other",311|Kapokseed in shell,"2570|Oilcrops, Other",rapeseed,
333|Linseed,"2570|Oilcrops, Other",333|Linseed,"2570|Oilcrops, Other",rapeseed,
336|Hempseed,"2570|Oilcrops, Other",336|Hempseed,"2570|Oilcrops, Other",rapeseed,
339|Oilseeds nes,"2570|Oilcrops, Other",339|Oilseeds nes,"2570|Oilcrops, Other",rapeseed,
162|Sugar Raw Centrifugal,2542|Sugar (Raw Equivalent),162|Sugar Raw Centrifugal,2542|Sugar (Raw Equivalent),remaining,
,2671|Tobacco,"826|Tobacco, unmanufactured",2671|Tobacco,remaining,
,2672|Rubber,"836|Rubber, natural",2672|Rubber,remaining,
,,"1012|Meat indigenous, sheep",remaining,remaining,
,,"1025|Skins, goat, fresh",remaining,remaining,
,,"1032|Meat indigenous, goat",remaining,remaining,
,,"1055|Meat indigenous, pig",remaining,remaining,
,,"1067|Eggs, hen, in shell (number)",remaining,remaining,
,,"1070|Meat indigenous, duck",remaining,remaining,
,,"1077|Meat indigenous, geese",remaining,remaining,
,,"1084|Meat indigenous, bird nes",remaining,remaining,
,,"1087|Meat indigenous, turkey",remaining,remaining,
,,"1092|Eggs, other bird, in shell (number)",remaining,remaining,
,,"1094|Meat indigenous, chicken",remaining,remaining,
,,"1100|Hair, horse",remaining,remaining,
,,"1120|Meat indigenous, horse",remaining,remaining,
,,"1122|Meat indigenous, ass",remaining,remaining,
,,"1124|Meat indigenous, mule",remaining,remaining,
,,"1137|Meat indigenous, camel",remaining,remaining,
,,"1144|Meat indigenous, rabbit",remaining,remaining,
,,"1154|Meat indigenous, rodents",remaining,remaining,
,,"1161|Meat indigenous, other camelids",remaining,remaining,
,,1183|Beeswax,remaining,remaining,
,,"1185|Silk-worm cocoons, reelable",remaining,remaining,
,,1186|Silk raw,remaining,remaining,
,,328|Seed cotton,2559|Cottonseed,cottn_pro,only cotton item with area information
,,677|Hops,remaining,remaining,
,,748|Peppermint,remaining,remaining,
,,"754|Pyrethrum, dried",remaining,remaining,
,,773|Flax fibre and tow,remaining,remaining,
,,777|Hemp tow waste,remaining,remaining,
,,778|Kapok fibre,remaining,remaining,
,,788|Ramie,remaining,remaining,
,,800|Agave fibres nes,remaining,remaining,
,,813|Coir,remaining,remaining,
,,821|Fibre crops nes,remaining,remaining,
,,"839|Gums, natural",remaining,remaining,
,,"919|Hides, cattle, fresh",remaining,remaining,
,,"944|Meat indigenous, cattle",remaining,remaining,
,,"957|Hides, buffalo, fresh",remaining,remaining,
,,"972|Meat indigenous, buffalo",remaining,remaining,
,,"987|Wool, greasy",remaining,remaining,
,,"995|Skins, sheep, fresh",remaining,remaining,
,,"999|Skins, sheep, with wool",remaining,remaining,
,2804|Rice (Paddy Equivalent),"27|Rice, paddy",2804|Rice (Paddy Equivalent),rice_pro,
236|Soybeans,2555|Soyabeans,236|Soybeans,2555|Soyabeans,soybean,
163|Sugar non-centrifugal,2541|Sugar non-centrifugal,,2541|Sugar non-centrifugal,sugar,
"161|Sugar crops, nes",,"161|Sugar crops, nes",remaining,remaining,
,"2543|Sweeteners, Other",,"2543|Sweeteners, Other",sugar,
"1182|Honey, natural",2745|Honey,"1182|Honey, natural",2745|Honey,sugar,
,"2818|Sugar, Refined Equiv",,"2818|Sugar, Refined Equiv",sugar,
157|Sugar beet,2537|Sugar beet,157|Sugar beet,2537|Sugar beet,sugr_beet,
156|Sugar cane,2536|Sugar cane,156|Sugar cane,2536|Sugar cane,sugr_cane,
267|Sunflower seed,2557|Sunflower seed,267|Sunflower seed,2557|Sunflower seed,sunflower,
15|Wheat,2511|Wheat and products,15|Wheat,2511|Wheat and products,tece,
44|Barley,2513|Barley and products,44|Barley,2513|Barley and products,tece,
71|Rye,2515|Rye and products,71|Rye,2515|Rye and products,tece,
75|Oats,2516|Oats,75|Oats,2516|Oats,tece,
101|Canary seed,"2520|Cereals, Other",101|Canary seed,"2520|Cereals, Other",tece,
"103|Grain, mixed","2520|Cereals, Other","103|Grain, mixed","2520|Cereals, Other",tece,
"108|Cereals, nes","2520|Cereals, Other","108|Cereals, nes","2520|Cereals, Other",tece,
68|Popcorn,"2520|Cereals, Other",68|Popcorn,"2520|Cereals, Other",tece,
89|Buckwheat,"2520|Cereals, Other",89|Buckwheat,"2520|Cereals, Other",tece,
92|Quinoa,"2520|Cereals, Other",92|Quinoa,"2520|Cereals, Other",tece,
94|Fonio,"2520|Cereals, Other",94|Fonio,"2520|Cereals, Other",tece,
97|Triticale,"2520|Cereals, Other",97|Triticale,"2520|Cereals, Other",tece,
79|Millet,2517|Millet and products,79|Millet,2517|Millet and products,trce,
83|Sorghum,2518|Sorghum and products,83|Sorghum,2518|Sorghum and products,trce,
,"2739|Milk, Skimmed",,,,
"27|Rice, paddy",2805|Rice (Milled Equivalent),,,,
"28|Rice, husked",2805|Rice (Milled Equivalent),,,,
"29|Rice, milled/husked",2805|Rice (Milled Equivalent),,,,
"31|Rice, milled",2805|Rice (Milled Equivalent),,,,
"32|Rice, broken",2805|Rice (Milled Equivalent),,,,
"33|Gluten, rice",2805|Rice (Milled Equivalent),,,,
"34|Starch, rice",2805|Rice (Milled Equivalent),,,,
"35|Bran, rice",2805|Rice (Milled Equivalent),,,,
"38|Flour, rice",2805|Rice (Milled Equivalent),,,,
110|Wafers,2511|Wheat and products,,,,
114|Mixes and doughs,2511|Wheat and products,,,,
"115|Food preparations, flour, malt extract",2511|Wheat and products,,,,
"16|Flour, wheat",2511|Wheat and products,,,,
"17|Bran, wheat",2511|Wheat and products,,,,
18|Macaroni,2511|Wheat and products,,,,
"19|Germ, wheat",2511|Wheat and products,,,,
20|Bread,2511|Wheat and products,,,,
21|Bulgur,2511|Wheat and products,,,,
22|Pastry,2511|Wheat and products,,,,
"23|Starch, wheat",2511|Wheat and products,,,,
"24|Gluten, wheat",2511|Wheat and products,,,,
"41|Cereals, breakfast",2511|Wheat and products,,,,
"45|Barley, pot",2513|Barley and products,,,,
"46|Barley, pearled",2513|Barley and products,,,,
"47|Bran, barley",2513|Barley and products,,,,
"48|Flour, barley and grits",2513|Barley and products,,,,
49|Malt,2513|Barley and products,,,,
50|Malt extract,2513|Barley and products,,,,
"57|Germ, maize",2514|Maize and products,,,,
"58|Flour, maize",2514|Maize and products,,,,
"59|Bran, maize",2514|Maize and products,,,,
"63|Gluten, maize",2514|Maize and products,,,,
"64|Starch, maize",2514|Maize and products,,,,
"846|Feed and meal, gluten",2514|Maize and products,,,,
"72|Flour, rye",2515|Rye and products,,,,
"73|Bran, rye",2515|Rye and products,,,,
76|Oats rolled,2516|Oats,,,,
"77|Bran, oats",2516|Oats,,,,
"80|Flour, millet",2517|Millet and products,,,,
"81|Bran, millet",2517|Millet and products,,,,
"84|Flour, sorghum",2518|Sorghum and products,,,,
"85|Bran, sorghum",2518|Sorghum and products,,,,
"104|Flour, mixed grain","2520|Cereals, Other",,,,
"105|Bran, mixed grains","2520|Cereals, Other",,,,
"111|Flour, cereals","2520|Cereals, Other",,,,
"112|Bran, cereals nes","2520|Cereals, Other",,,,
"113|Cereal preparations, nes","2520|Cereals, Other",,,,
"90|Flour, buckwheat","2520|Cereals, Other",,,,
"91|Bran, buckwheat","2520|Cereals, Other",,,,
"95|Flour, fonio","2520|Cereals, Other",,,,
"96|Bran, fonio","2520|Cereals, Other",,,,
"98|Flour, triticale","2520|Cereals, Other",,,,
"99|Bran, triticale","2520|Cereals, Other",,,,
"117|Flour, potatoes",2531|Potatoes and products,,,,
"118|Potatoes, frozen",2531|Potatoes and products,,,,
"119|Starch, potatoes",2531|Potatoes and products,,,,
"121|Tapioca, potatoes",2531|Potatoes and products,,,,
"126|Flour, cassava",2532|Cassava and products,,,,
"127|Tapioca, cassava",2532|Cassava and products,,,,
128|Cassava dried,2532|Cassava and products,,,,
"129|Starch, cassava",2532|Cassava and products,,,,
"150|Flour, roots and tubers nes","2534|Roots, Other",,,,
151|Roots and tubers dried,"2534|Roots, Other",,,,
"158|Sugar, cane, raw, centrifugal",2542|Sugar (Raw Equivalent),,,,
"159|Sugar, beet, raw, centrifugal",2542|Sugar (Raw Equivalent),,,,
164|Sugar refined,2542|Sugar (Raw Equivalent),,,,
168|Sugar confectionery,2542|Sugar (Raw Equivalent),,,,
171|Sugar flavoured,2542|Sugar (Raw Equivalent),,,,
154|Fructose chemically pure,"2543|Sweeteners, Other",,,,
155|Maltose chemically pure,"2543|Sweeteners, Other",,,,
160|Maple sugar and syrups,"2543|Sweeteners, Other",,,,
165|Molasses,"2543|Sweeteners, Other",,,,
"166|Fructose and syrup, other","2543|Sweeteners, Other",,,,
"167|Sugar, nes","2543|Sweeteners, Other",,,,
172|Glucose and dextrose,"2543|Sweeteners, Other",,,,
173|Lactose,"2543|Sweeteners, Other",,,,
175|Isoglucose,"2543|Sweeteners, Other",,,,
"633|Beverages, non alcoholic","2543|Sweeteners, Other",,,,
"212|Flour, pulses","2549|Pulses, Other and products",,,,
"213|Bran, pulses","2549|Pulses, Other and products",,,,
"229|Brazil nuts, shelled",2551|Nuts and products,,,,
"230|Cashew nuts, shelled",2551|Nuts and products,,,,
231|Almonds shelled,2551|Nuts and products,,,,
"232|Walnuts, shelled",2551|Nuts and products,,,,
"233|Hazelnuts, shelled",2551|Nuts and products,,,,
"235|Nuts, prepared (exc groundnuts)",2551|Nuts and products,,,,
239|Soya sauce,2555|Soyabeans,,,,
240|Soya paste,2555|Soyabeans,,,,
241|Soya curd,2555|Soyabeans,,,,
"242|Groundnuts, with shell",2556|Groundnuts (Shelled Eq),,,,
"243|Groundnuts, shelled",2556|Groundnuts (Shelled Eq),,,,
"246|Groundnuts, prepared",2556|Groundnuts (Shelled Eq),,,,
247|Peanut butter,2556|Groundnuts (Shelled Eq),,,,
"295|Flour, mustard",2558|Rape and Mustardseed,,,,
"250|Coconuts, desiccated",2560|Coconuts - Incl Copra,,,,
251|Copra,2560|Coconuts - Incl Copra,,,,
"254|Oil, palm fruit",2562|Palm kernels,"254|Oil, palm fruit",oilpalm,oilpalm,
262|Olives preserved,2563|Olives (including preserved),,,,
312|Kapokseed shelled,"2570|Oilcrops, Other",,,,
"343|Flour, oilseeds","2570|Oilcrops, Other",,,,
"293|Oil, mustard",2574|Rape and Mustard Oil,,,,
1276|Fatty acids,2577|Palm Oil,,,,
1277|Fatty substance residues,2577|Palm Oil,,,,
"274|Oil, olive residues",2580|Olive Oil,,,,
"1241|Margarine, liquid","2586|Oilcrops Oil, Other",,,,
"1273|Castor oil, hydrogenated (opal wax)","2586|Oilcrops Oil, Other",,,,
"1274|Oil, boiled etc","2586|Oilcrops Oil, Other",,,,
"1275|Oil, hydrogenated","2586|Oilcrops Oil, Other",,,,
264|Butter of karite nuts,"2586|Oilcrops Oil, Other",,,,
"266|Oil, castor beans","2586|Oilcrops Oil, Other",,,,
"276|Oil, tung nuts","2586|Oilcrops Oil, Other",,,,
"278|Oil, jojoba","2586|Oilcrops Oil, Other",,,,
"297|Oil, poppy","2586|Oilcrops Oil, Other",,,,
306|Vegetable tallow,"2586|Oilcrops Oil, Other",,,,
"307|Oil, stillingia","2586|Oilcrops Oil, Other",,,,
"313|Oil, kapok","2586|Oilcrops Oil, Other",,,,
"337|Oil, hempseed","2586|Oilcrops Oil, Other",,,,
"340|Oil, vegetable origin nes","2586|Oilcrops Oil, Other",,,,
"664|Cocoa, butter","2586|Oilcrops Oil, Other",,,,
"389|Juice, tomato, concentrated",2601|Tomatoes and products,,,,
"390|Juice, tomato",2601|Tomatoes and products,,,,
"391|Tomatoes, paste",2601|Tomatoes and products,,,,
"392|Tomatoes, peeled",2601|Tomatoes and products,,,,
447|Sweet corn frozen,"2605|Vegetables, Other",,,,
448|Sweet corn prep or preserved,"2605|Vegetables, Other",,,,
"450|Mushrooms, dried","2605|Vegetables, Other",,,,
"451|Mushrooms, canned","2605|Vegetables, Other",,,,
"464|Vegetables, dried nes","2605|Vegetables, Other",,,,
"465|Vegetables, canned nes","2605|Vegetables, Other",,,,
"466|Juice, vegetables nes","2605|Vegetables, Other",,,,
"469|Vegetables, dehydrated","2605|Vegetables, Other",,,,
471|Vegetables in vinegar,"2605|Vegetables, Other",,,,
"472|Vegetables, preserved nes","2605|Vegetables, Other",,,,
"473|Vegetables, frozen","2605|Vegetables, Other",,,,
"474|Vegetables, temporarily preserved","2605|Vegetables, Other",,,,
"475|Vegetables, preserved, frozen","2605|Vegetables, Other",,,,
"476|Vegetables, homogenized preparations","2605|Vegetables, Other",,,,
"658|Coffee, substitutes containing coffee","2605|Vegetables, Other",,,,
"491|Juice, orange, single strength","2611|Oranges, Mandarines",,,,
"492|Juice, orange, concentrated","2611|Oranges, Mandarines",,,,
"496|Juice, tangerine","2611|Oranges, Mandarines",,,,
"498|Juice, lemon, single strength","2612|Lemons, Limes and products",,,,
"499|Juice, lemon, concentrated","2612|Lemons, Limes and products",,,,
"509|Juice, grapefruit",2613|Grapefruit and products,,,,
"510|Juice, grapefruit, concentrated",2613|Grapefruit and products,,,,
"513|Juice, citrus, single strength","2614|Citrus, Other",,,,
"514|Juice, citrus, concentrated","2614|Citrus, Other",,,,
"518|Juice, apple, single strength",2617|Apples and products,,,,
"519|Juice, apple, concentrated",2617|Apples and products,,,,
575|Pineapples canned,2618|Pineapples and products,,,,
"576|Juice, pineapple",2618|Pineapples and products,,,,
"580|Juice, pineapple, concentrated",2618|Pineapples and products,,,,
561|Raisins,2620|Grapes and products (excl wine),,,,
"562|Juice, grape",2620|Grapes and products (excl wine),,,,
"563|Grapes, must",2620|Grapes and products (excl wine),,,,
"527|Apricots, dry","2625|Fruits, Other",,,,
537|Plums dried (prunes),"2625|Fruits, Other",,,,
"538|Juice, plum, single strength","2625|Fruits, Other",,,,
"539|Juice, plum, concentrated","2625|Fruits, Other",,,,
570|Figs dried,"2625|Fruits, Other",,,,
"583|Juice, mango","2625|Fruits, Other",,,,
"604|Fruit, tropical dried nes","2625|Fruits, Other",,,,
"620|Fruit, dried nes","2625|Fruits, Other",,,,
"622|Juice, fruit nes","2625|Fruits, Other",,,,
"623|Fruit, prepared nes","2625|Fruits, Other",,,,
"624|Flour, fruit","2625|Fruits, Other",,,,
"625|Fruits, nuts, peel, sugar preserved","2625|Fruits, Other",,,,
"626|Fruit, cooked, homogenized preparations","2625|Fruits, Other",,,,
"657|Coffee, roasted",2630|Coffee and products,,,,
"659|Coffee, extracts",2630|Coffee and products,,,,
"662|Cocoa, paste",2633|Cocoa Beans and products,,,,
"665|Cocoa, powder and cake",2633|Cocoa Beans and products,,,,
666|Chocolate products nes,2633|Cocoa Beans and products,,,,
"672|Tea, mate extracts",2635|Tea (including mate),,,,
565|Vermouths and similar,2655|Wine,,,,
,"2738|Milk, Whole",,,,
,2741|Cheese,,,,
,2742|Whey,,,,
"1063|Eggs, liquid",2744|Eggs,,,,
"1064|Eggs, dried",2744|Eggs,,,,
916|Egg albumine,2744|Eggs,,,,
,2746|Wool (Clean Eq),,,,
,2747|Silk,,,,
,2748|Hides and skins,,,,
,2749|Meat Meal,,,,
,2815|Roots & Tuber Dry Equiv,,,,
,"2827|Sugar, Raw Equivalent",,,,
"1023|Milk, skimmed goat",2848|Milk - Excluding Butter,,,,
"892|Yoghurt, concentrated or not",2848|Milk - Excluding Butter,,,,
"893|Buttermilk, curdled, acidified milk",2848|Milk - Excluding Butter,,,,
"903|Whey, fresh",2848|Milk - Excluding Butter,,,,
"905|Whey, cheese",2848|Milk - Excluding Butter,,,,
"907|Cheese, processed",2848|Milk - Excluding Butter,,,,
"908|Milk, reconstituted",2848|Milk - Excluding Butter,,,,
"909|Milk, products of natural constituents nes",2848|Milk - Excluding Butter,,,,
910|Ice cream and edible ice,2848|Milk - Excluding Butter,,,,
917|Casein,2848|Milk - Excluding Butter,,,,
"954|Milk, skimmed buffalo",2848|Milk - Excluding Butter,,,,
"985|Milk, skimmed sheep",2848|Milk - Excluding Butter,,,,
"1018|Offals, edible, goats",,,,,
"1019|Fat, goats",,,,,
1022|Butter of goat mlk,,,,,
"1036|Offals, pigs, edible",,,,,
"1037|Fat, pigs",,,,,
"1038|Meat, pork",,,,,
1039|Bacon and ham,,,,,
"1040|Fat, pig butcher",,,,,
"1041|Meat, pig sausages",,,,,
"1042|Meat, pig, preparations",,,,,
"1059|Offals, liver chicken",,,,,
"1060|Fat, liver prepared (foie gras)",,,,,
"1061|Meat, chicken, canned",,,,,
"1065|Fat, poultry",,,,,
"1066|Fat, poultry, rendered",,,,,
"1074|Offals, liver geese",,,,,
"1075|Offals, liver duck",,,,,
"1081|Offals, liver turkeys",,,,,
"1098|Offals, horses",,,,,
"1128|Offals, edible, camels",,,,,
"1129|Fat, camels",,,,,
"1159|Offals, other camelids",,,,,
"1160|Fat, other camelids",,,,,
"1164|Meat, dried nes",,,,,
"1168|Oils, fats of animal nes",,,,,
"1172|Meat, nes, preparations",,,,,
1221|Lard stearine oil,,,,,
1222|Degras,,,,,
"1243|Fat, nes, prepared",,,,,
"868|Offals, edible, cattle",,,,,
"869|Fat, cattle",,,,,
"870|Meat, cattle, boneless (beef and veal)",,,,,
"871|Fat, cattle butcher",,,,,
"872|Meat, beef, dried, salted, smoked",,,,,
"873|Meat, extracts",,,,,
"874|Meat, beef and veal sausages",,,,,
"875|Meat, beef, preparations",,,,,
"876|Meat, beef, canned",,,,,
"877|Meat, homogenized preparations",,,,,
878|Liver prep,,,,,
"948|Offals, edible, buffaloes",,,,,
"949|Fat, buffaloes",,,,,
"978|Offals, sheep,edible",,,,,
"979|Fat, sheep",,,,,
994|Grease incl lanolin wool,,,,,
