ECLIPSE_extended,REMINDvariable,index
Losses_Coal,prodpe,pecoal
Losses_Distribution_Use,prodse,gastr
Losses_Prod_Oil,prodpe,peoil
Losses_Prod_Conventional_Gas,prodpe,pegas
Losses_Prod_Shale_Gas,NA,NA
Power_Gen_Bio_Trad_Old,prodse,biotr
Power_Gen_Bio_Trad_New,prodse,biotrmod
Power_Gen_Coal_Old,prodse,pc
Power_Gen_Coal_New,prodse,igcc
Power_Gen_Coal_New,prodse,pcc
Power_Gen_Coal_New,prodse,pco
Power_Gen_Coal_New,prodse,coalchp
Power_Gen_Coal_IGCC_CCS,prodse,igccc
Power_Gen_HLF,prodse,dot
Power_Gen_HLF_CCS,prodse,dot
Power_Gen_LLF,prodse,dot
Power_Gen_NatGas,prodse,ngcc
Power_Gen_NatGas,prodse,ngccc
Power_Gen_NatGas,prodse,ngt
Power_Gen_NatGas,prodse,gaschp
Transformations_Coal,prodse,coaltr
Transformations_HLF,prodse,refdip
Transformations_HLF_Refinery,prodse,refdip
Transformations_LLF,prodse,refped
Transformations_NatGas_CO2,prodse,gastr
Waste_solid_municipal,NA,NA
Waste_solid_industrial,NA,NA
Waste_water_municipal,NA,NA
Waste_water_industrial,NA,NA
