CountryA3, Entity,Sector
AFG,Industries,Agriculture
AFG,Industries,Fishing
AFG,Industries,Mining and Quarrying
AFG,Industries,Food & Beverages
AFG,Industries,Textiles and Wearing Apparel
AFG,Industries,Wood and Paper
AFG,Industries,"Petroleum, Chemical and Non-Metallic Mineral Products"
AFG,Industries,Metal Products
AFG,Industries,Electrical and Machinery
AFG,Industries,Transport Equipment
AFG,Industries,Other Manufacturing
AFG,Industries,Recycling
AFG,Industries,"Electricity, Gas and Water"
AFG,Industries,Construction
AFG,Industries,Maintenance and Repair
AFG,Industries,Wholesale Trade
AFG,Industries,Retail Trade
AFG,Industries,Hotels and Restraurants
AFG,Industries,Transport
AFG,Industries,Post and Telecommunications
AFG,Industries,Finacial Intermediation and Business Activities
AFG,Industries,Public Administration
AFG,Industries,"Education, Health and Other Services"
AFG,Industries,Private Households
AFG,Industries,Others
AFG,Industries,Re-export & Re-import
ALB,Industries,Agriculture
ALB,Industries,Fishing
ALB,Industries,Mining and Quarrying
ALB,Industries,Food & Beverages
ALB,Industries,Textiles and Wearing Apparel
ALB,Industries,Wood and Paper
ALB,Industries,"Petroleum, Chemical and Non-Metallic Mineral Products"
ALB,Industries,Metal Products
ALB,Industries,Electrical and Machinery
ALB,Industries,Transport Equipment
ALB,Industries,Other Manufacturing
ALB,Industries,Recycling
ALB,Industries,"Electricity, Gas and Water"
ALB,Industries,Construction
ALB,Industries,Maintenance and Repair
ALB,Industries,Wholesale Trade
ALB,Industries,Retail Trade
ALB,Industries,Hotels and Restraurants
ALB,Industries,Transport
ALB,Industries,Post and Telecommunications
ALB,Industries,Finacial Intermediation and Business Activities
ALB,Industries,Public Administration
ALB,Industries,"Education, Health and Other Services"
ALB,Industries,Private Households
ALB,Industries,Others
ALB,Industries,Re-export & Re-import
DZA,Industries,Agriculture
DZA,Industries,Fishing
DZA,Industries,Mining and Quarrying
DZA,Industries,Food & Beverages
DZA,Industries,Textiles and Wearing Apparel
DZA,Industries,Wood and Paper
DZA,Industries,"Petroleum, Chemical and Non-Metallic Mineral Products"
DZA,Industries,Metal Products
DZA,Industries,Electrical and Machinery
DZA,Industries,Transport Equipment
DZA,Industries,Other Manufacturing
DZA,Industries,Recycling
DZA,Industries,"Electricity, Gas and Water"
DZA,Industries,Construction
DZA,Industries,Maintenance and Repair
DZA,Industries,Wholesale Trade
DZA,Industries,Retail Trade
DZA,Industries,Hotels and Restraurants
DZA,Industries,Transport
DZA,Industries,Post and Telecommunications
DZA,Industries,Finacial Intermediation and Business Activities
DZA,Industries,Public Administration
DZA,Industries,"Education, Health and Other Services"
DZA,Industries,Private Households
DZA,Industries,Others
DZA,Industries,Re-export & Re-import
AND,Industries,Agriculture
AND,Industries,Fishing
AND,Industries,Mining and Quarrying
AND,Industries,Food & Beverages
AND,Industries,Textiles and Wearing Apparel
AND,Industries,Wood and Paper
AND,Industries,"Petroleum, Chemical and Non-Metallic Mineral Products"
AND,Industries,Metal Products
AND,Industries,Electrical and Machinery
AND,Industries,Transport Equipment
AND,Industries,Other Manufacturing
AND,Industries,Recycling
AND,Industries,"Electricity, Gas and Water"
AND,Industries,Construction
AND,Industries,Maintenance and Repair
AND,Industries,Wholesale Trade
AND,Industries,Retail Trade
AND,Industries,Hotels and Restraurants
AND,Industries,Transport
AND,Industries,Post and Telecommunications
AND,Industries,Finacial Intermediation and Business Activities
AND,Industries,Public Administration
AND,Industries,"Education, Health and Other Services"
AND,Industries,Private Households
AND,Industries,Others
AND,Industries,Re-export & Re-import
AGO,Industries,Agriculture
AGO,Industries,Fishing
