magpie,luh2
tece,c3ann
maiz,c4ann
trce,c4ann
rice_pro,c3ann
soybean,c3nfx
rapeseed,c3ann
groundnut,c3nfx
sunflower,c3ann
oilpalm,c3per
puls_pro,c3nfx
potato,c3ann
cassav_sp,c3ann
sugr_cane,c4per
sugr_beet,c3ann
cottn_pro,c3ann
others,c3ann
foddr,c3ann
begr,c4per
betr,c3per
