lutz,hic,,,,,,,,,,,,lutz,hic
0--4,AG0,,,,,,,,,,,,0--4,AG0
5--9,AG0,,,,,,,,,,,,5--9,AG0
10--14,AG0,,,,,,,,,,,,10--14,AG0
15--19,AG0,,,,,,,,,,,,15--19,AG0
AG1,AG1,,,,,,,,,,,,AG1,AG1
AG2,AG2,,,,,,,,,,,,AG2,AG2
AG3,AG3,,,,,,,,,,,,AG3,AG3
AG4,AG4,,,,,,,,,,,,AG4,AG4
,,,,,,,,,,,,,All,All
