"ECLIPSE_aggregated";"interm";"enty1";"enty2";"te";"sector";"variable";"EDGE";"ces";"model"
"End_Use_Transport_LLF";"fepet";"sepet";"fepet";"tdpet";"trans";"prodFe";NA;NA;"REMIND"
"End_Use_Transport_NatGas";"gasind";"pegas";"segafos";"gastr";"indst";"prodSe";NA;NA;"REMIND"
"Losses_Coal";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Losses_Distribution_Use";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Losses_Vent_Flare";"other";NA;NA;NA;NA;NA;NA;NA;NA
"NACID";"ind";NA;NA;NA;NA;NA;NA;NA;NA
"PAPER";"ind";NA;NA;NA;NA;NA;NA;NA;NA
"Power_Gen_Bio_Trad";"bio_el";"pebiolc";"seel";"biochp";"power";"prodSe";NA;NA;"REMIND"
"Power_Gen_Bio_Trad";"bio_el";"pebiolc";"sehe";"biohp";"power";"prodSe";NA;NA;"REMIND"
"Power_Gen_Bio_Trad";"bio_el";"pebiolc";"seel";"bioigcc";"power";"prodSe";NA;NA;"REMIND"
"Power_Gen_Bio_Trad";"bio_el";"pebiolc";"seel";"bioigccc";"power";"prodSe";NA;NA;"REMIND"
"Power_Gen_Bio_Trad";"bio_el";"pebiolc";"segabio";"biogas";"power";"prodSe";NA;NA;"REMIND"
"Power_Gen_Coal";"coal_el";"pecoal";"seel";"pc";"power";"prodSe";NA;NA;"REMIND"
"Power_Gen_Coal";"coal_el";"pecoal";"seel";"igcc";"power";"prodSe";NA;NA;"REMIND"
"Power_Gen_Coal";"coal_el";"pecoal";"seel";"pcc";"power";"prodSe";NA;NA;"REMIND"
"Power_Gen_Coal";"coal_el";"pecoal";"seel";"pco";"power";"prodSe";NA;NA;"REMIND"
"Power_Gen_Coal";"coal_el";"pecoal";"seel";"igccc";"power";"prodSe";NA;NA;"REMIND"
"Power_Gen_Coal";"coal_el";"pecoal";"sehe";"coalhp";"power";"prodSe";NA;NA;"REMIND"
"Power_Gen_HLF";"dot";"peoil";"seel";"dot";"power";"prodSe";NA;NA;"REMIND"
"Power_Gen_LLF";"dot";"peoil";"seel";"dot";"power";"prodSe";NA;NA;"REMIND"
"Power_Gen_NatGas";"gas_el";"pegas";"seel";"ngcc";"power";"prodSe";NA;NA;"REMIND"
"Power_Gen_NatGas";"gas_el";"pegas";"seel";"ngt";"power";"prodSe";NA;NA;"REMIND"
"Power_Gen_NatGas";"gas_el";"pegas";"seel";"gaschp";"power";"prodSe";NA;NA;"REMIND"
"Power_Gen_NatGas";"gas_el";"pegas";"sehe";"gashp";"power";"prodSe";NA;NA;"REMIND"
"STEEL";"ind";NA;NA;NA;NA;NA;NA;NA;NA
"Transformations_Coal";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Transformations_HLF";"other";NA;NA;NA;NA;NA;NA;NA;NA
"Transformations_HLF_Refinery";"other";NA;NA;NA;NA;NA;NA;NA;NA
"Transformations_LLF";"other";NA;NA;NA;NA;NA;NA;NA;NA
"Transformations_NatGas";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Unattributed";NA;NA;NA;NA;NA;NA;NA;NA;NA
