lutz,agegroups
0--4,underaged
5--9,underaged
10--14,underaged
15--19,working
20--24,working
25--29,working
30--34,working
35--39,working
40--44,working
45--49,working
50--54,working
55--59,working
60--64,retired
65--69,retired
70--74,retired
75--79,retired
80--84,retired
85--89,retired
90--94,retired
95--99,retired
100+,retired
