Sector,Definition,Aggregate Sector,LIMITS Database category,REMIND,ShortReportingName
Losses_Vent_Flare,Production of oil or gas: emissions from gas flaring and unintended leakage during extraction,Conversion,Emissions|POLLUTANT|Energy Supply,en,Emi|POLLUTANT|Energy Supply (Mt POLLUTANT)/yr
NACID,Ind. Process: Nitric acid,Industrial Process,Emissions|POLLUTANT|Energy Demand|Industry,ind,Emi|POLLUTANT|Energy Demand|Industry (Mt POLLUTANT)/yr
PAPER,Ind. Process: Paper pulp mills,Industrial Process,Emissions|POLLUTANT|Energy Demand|Industry,ind,Emi|POLLUTANT|Energy Demand|Industry (Mt POLLUTANT)/yr
Power_Gen_Bio_Trad,Combustion of solid biomass in Power & District heat plants (including existing and new power plants),Electricity Generation,Emissions|POLLUTANT|Energy Supply,en,Emi|POLLUTANT|Energy Supply (Mt POLLUTANT)/yr
Power_Gen_Coal,"Combustion of coal (hard coal, brown coal,derived coal) in Power & District heat plants (including existing and new power plants)",Electricity Generation,Emissions|POLLUTANT|Energy Supply,en,Emi|POLLUTANT|Energy Supply (Mt POLLUTANT)/yr
Power_Gen_HLF,"Combustion of  heavy and middle distillates (i.e. ""Heavy fuel oil"" and ""Medium distillates (diesel, light fuel oil)in Power & District heat plants ((including existing and new power plants)",Electricity Generation,Emissions|POLLUTANT|Energy Supply,en,Emi|POLLUTANT|Energy Supply (Mt POLLUTANT)/yr
Power_Gen_LLF,Combustion of Gasoline and other light fractions of oil  in Power & District heat plants (including existing and new power plants),Electricity Generation,Emissions|POLLUTANT|Energy Supply,en,Emi|POLLUTANT|Energy Supply (Mt POLLUTANT)/yr
Power_Gen_NatGas,Combustion of natural gas  in Power & District heat plants (including existing and new power plants),Electricity Generation,Emissions|POLLUTANT|Energy Supply,en,Emi|POLLUTANT|Energy Supply (Mt POLLUTANT)/yr
STEEL,Ind. Process: Iron and Steel industry,Industrial Process,Emissions|POLLUTANT|Energy Demand|Industry,ind,Emi|POLLUTANT|Energy Demand|Industry (Mt POLLUTANT)/yr
Transformations_HLF,Gasoline distribution - transport and depots (used in mobile and stationary sources),Conversion,Emissions|POLLUTANT|Energy Supply,en,Emi|POLLUTANT|Energy Supply (Mt POLLUTANT)/yr
Transformations_HLF_Refinery,Process: Crude oil & other products - input to Petroleum refineries,Refineries,Emissions|POLLUTANT|Energy Supply,en,Emi|POLLUTANT|Energy Supply (Mt POLLUTANT)/yr
Transformations_LLF,Gasoline distribution - service stations,Conversion,Emissions|POLLUTANT|Energy Supply,en,Emi|POLLUTANT|Energy Supply (Mt POLLUTANT)/yr
Losses_Coal,"Mining, bulk coal transport, storage",Losses,Emissions|POLLUTANT|Energy Supply,en,Emi|POLLUTANT|Energy Supply (Mt POLLUTANT)/yr
Losses_Distribution_Use,Losses during gas long distance transmission and distribution,Losses,Emissions|POLLUTANT|Energy Supply,en,Emi|POLLUTANT|Energy Supply (Mt POLLUTANT)/yr
Transformations_Coal,"Conversion losses, incl. coke and biquetting plants",Conversion,Emissions|POLLUTANT|Energy Supply,en,Emi|POLLUTANT|Energy Supply (Mt POLLUTANT)/yr
Transformations_NatGas,Conversion losses,Conversion,Emissions|POLLUTANT|Energy Supply,en,Emi|POLLUTANT|Energy Supply (Mt POLLUTANT)/yr
Power_Gen_Bio_Trad,Combustion of solid biomass in Power & District heat plants (including existing and new power plants),Electricity Generation,Emissions|POLLUTANT|Energy Supply|Electricity,en,Emi|POLLUTANT|Energy Supply|Electricity (Mt POLLUTANT)/yr
Power_Gen_Coal,"Combustion of coal (hard coal, brown coal,derived coal) in Power & District heat plants (including existing and new power plants)",Electricity Generation,Emissions|POLLUTANT|Energy Supply|Electricity,en,Emi|POLLUTANT|Energy Supply|Electricity (Mt POLLUTANT)/yr
Power_Gen_HLF,"Combustion of  heavy and middle distillates (i.e. ""Heavy fuel oil"" and ""Medium distillates (diesel, light fuel oil)in Power & District heat plants ((including existing and new power plants)",Electricity Generation,Emissions|POLLUTANT|Energy Supply|Electricity,en,Emi|POLLUTANT|Energy Supply|Electricity (Mt POLLUTANT)/yr
Power_Gen_LLF,Combustion of Gasoline and other light fractions of oil  in Power & District heat plants (including existing and new power plants),Electricity Generation,Emissions|POLLUTANT|Energy Supply|Electricity,en,Emi|POLLUTANT|Energy Supply|Electricity (Mt POLLUTANT)/yr
Power_Gen_NatGas,Combustion of natural gas  in Power & District heat plants (including existing and new power plants),Electricity Generation,Emissions|POLLUTANT|Energy Supply|Electricity,en,Emi|POLLUTANT|Energy Supply|Electricity (Mt POLLUTANT)/yr
End_Use_Transport_Coal,"Combustion  of  coal (hard coal, brown coal,derived coal) in Transport Sector",Transport,Emissions|POLLUTANT|Energy Demand|Transportation|Ground Transportation,,Emi|POLLUTANT|Energy Demand|Transport|Ground Trans (Mt POLLUTANT)/yr
End_Use_Transport_HLF,"Combustion  of heavy and middle distillates (i.e. ""Heavy fuel oil"" and ""Medium distillates (diesel, light fuel oil)  in Transport Sector",Transport,Emissions|POLLUTANT|Energy Demand|Transportation|Ground Transportation,,Emi|POLLUTANT|Energy Demand|Transport|Ground Trans (Mt POLLUTANT)/yr
End_Use_Transport_LLF,Combustion  of  Gasoline and other light fractions of oil (includes kerosene) in Transport Sector,Transport,Emissions|POLLUTANT|Energy Demand|Transportation|Ground Transportation,,Emi|POLLUTANT|Energy Demand|Transport|Ground Trans (Mt POLLUTANT)/yr
End_Use_Transport_NatGas,Combustion  of  Natural Gas in Transport Sector,Transport,Emissions|POLLUTANT|Energy Demand|Transportation|Ground Transportation,,Emi|POLLUTANT|Energy Demand|Transport|Ground Trans (Mt POLLUTANT)/yr
