FAO,LPJ,LUH2v2
125|Cassava,trro,c4ann
15|Wheat,tece,c3ann
156|Sugar cane,sugarcane,c4per
157|Sugar beet,tero,c3ann
"187|Peas, dry",pulses,c3nfx
236|Soybeans,soybean,c3nfx
"242|Groundnuts, with shell",groundnut,c3nfx
267|Sunflower seed,sunflower,c3ann
"27|Rice, paddy",rice,c3ann
56|Maize,maize,c4ann
79|Millet,trce,c4ann
270|Rapeseed,rapeseed,c3ann
,begr,c4per
,betr,c3per
