lutz,NCDrisc
5--9,age5
5--9,age6
5--9,age7
5--9,age8
5--9,age9
10--14,age10
10--14,age11
10--14,age12
10--14,age13
10--14,age14
15--19,age15
15--19,age16
15--19,age17
15--19,age18
15--19,age19
