Category,CountryA3,Sector
agriculture,ABW,Agriculture
fishery,ABW,Fishing
food processing,ABW,Food & Beverages
fuel,ABW,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,ABW,Electrical and Machinery
manufacturing,ABW,Finacial Intermediation and Business Activities
manufacturing,ABW,Metal Products
manufacturing,ABW,Other Manufacturing
manufacturing,ABW,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,ABW,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,ABW,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,ABW,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,ABW,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,ABW,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,ABW,Primary Inputs_Taxes on production D_29
primary non-agricultural products,ABW,Mining and Quarrying
public services,ABW,Public Administration
research,ABW,"Education, Health and Other Services"
services,ABW,Construction
services,ABW,Hotels and Restraurants
services,ABW,Maintenance and Repair
services,ABW,Others
services,ABW,Post and Telecommunications
services,ABW,Private Households
services,ABW,Recycling
transport,ABW,Re-export & Re-import
transport,ABW,Retail Trade
transport,ABW,Transport
transport,ABW,Transport Equipment
transport,ABW,Wholesale Trade
water,ABW,"Electricity, Gas and Water"
wood processing,ABW,Wood and Paper
agriculture,AFG,Agriculture
fishery,AFG,Fishing
food processing,AFG,Food & Beverages
fuel,AFG,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,AFG,Electrical and Machinery
manufacturing,AFG,Finacial Intermediation and Business Activities
manufacturing,AFG,Metal Products
manufacturing,AFG,Other Manufacturing
manufacturing,AFG,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,AFG,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,AFG,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,AFG,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,AFG,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,AFG,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,AFG,Primary Inputs_Taxes on production D_29
primary non-agricultural products,AFG,Mining and Quarrying
public services,AFG,Public Administration
research,AFG,"Education, Health and Other Services"
services,AFG,Construction
services,AFG,Hotels and Restraurants
services,AFG,Maintenance and Repair
services,AFG,Others
services,AFG,Post and Telecommunications
services,AFG,Private Households
services,AFG,Recycling
transport,AFG,Re-export & Re-import
transport,AFG,Retail Trade
transport,AFG,Transport
transport,AFG,Transport Equipment
transport,AFG,Wholesale Trade
water,AFG,"Electricity, Gas and Water"
wood processing,AFG,Wood and Paper
agriculture,AGO,Agriculture
fishery,AGO,Fishing
food processing,AGO,Food & Beverages
fuel,AGO,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,AGO,Electrical and Machinery
manufacturing,AGO,Finacial Intermediation and Business Activities
manufacturing,AGO,Metal Products
manufacturing,AGO,Other Manufacturing
manufacturing,AGO,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,AGO,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,AGO,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,AGO,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,AGO,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,AGO,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,AGO,Primary Inputs_Taxes on production D_29
primary non-agricultural products,AGO,Mining and Quarrying
public services,AGO,Public Administration
research,AGO,"Education, Health and Other Services"
services,AGO,Construction
services,AGO,Hotels and Restraurants
services,AGO,Maintenance and Repair
services,AGO,Others
services,AGO,Post and Telecommunications
services,AGO,Private Households
services,AGO,Recycling
transport,AGO,Re-export & Re-import
transport,AGO,Retail Trade
transport,AGO,Transport
transport,AGO,Transport Equipment
transport,AGO,Wholesale Trade
water,AGO,"Electricity, Gas and Water"
wood processing,AGO,Wood and Paper
agriculture,ALB,Agriculture
fishery,ALB,Fishing
food processing,ALB,Food & Beverages
fuel,ALB,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,ALB,Electrical and Machinery
manufacturing,ALB,Finacial Intermediation and Business Activities
manufacturing,ALB,Metal Products
manufacturing,ALB,Other Manufacturing
manufacturing,ALB,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,ALB,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,ALB,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,ALB,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,ALB,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,ALB,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,ALB,Primary Inputs_Taxes on production D_29
primary non-agricultural products,ALB,Mining and Quarrying
public services,ALB,Public Administration
research,ALB,"Education, Health and Other Services"
services,ALB,Construction
services,ALB,Hotels and Restraurants
services,ALB,Maintenance and Repair
services,ALB,Others
services,ALB,Post and Telecommunications
services,ALB,Private Households
services,ALB,Recycling
transport,ALB,Re-export & Re-import
transport,ALB,Retail Trade
transport,ALB,Transport
transport,ALB,Transport Equipment
transport,ALB,Wholesale Trade
water,ALB,"Electricity, Gas and Water"
wood processing,ALB,Wood and Paper
agriculture,AND,Agriculture
fishery,AND,Fishing
food processing,AND,Food & Beverages
fuel,AND,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,AND,Electrical and Machinery
manufacturing,AND,Finacial Intermediation and Business Activities
manufacturing,AND,Metal Products
manufacturing,AND,Other Manufacturing
manufacturing,AND,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,AND,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,AND,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,AND,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,AND,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,AND,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,AND,Primary Inputs_Taxes on production D_29
primary non-agricultural products,AND,Mining and Quarrying
public services,AND,Public Administration
research,AND,"Education, Health and Other Services"
services,AND,Construction
services,AND,Hotels and Restraurants
services,AND,Maintenance and Repair
services,AND,Others
services,AND,Post and Telecommunications
services,AND,Private Households
services,AND,Recycling
transport,AND,Re-export & Re-import
transport,AND,Retail Trade
transport,AND,Transport
transport,AND,Transport Equipment
transport,AND,Wholesale Trade
water,AND,"Electricity, Gas and Water"
wood processing,AND,Wood and Paper
