generic;generic_unit;ts10;ts10_unit
Cumulative Capacity|Hydrogen|Fossil|w/o CCS;GW;Cumulative Capacity|Hydrogen|Fossil|w/o CCS;GW
Cumulative Capacity|Hydrogen|Other;GW;Cumulative Capacity|Hydrogen|Other;GW
Cumulative Capacity|Liquids;GW;Cumulative Capacity|Liquids;GW
Emi|Allowances;Mt CO2-equiv/yr;Emissions|GHG|Allowance Allocation;Mt CO2-equiv/yr
Emi|BC;Mt BC/yr;Emissions|BC;Mt BC/yr
Emi|BC|Energy Demand|Industry;Mt BC/yr;Emissions|BC|Energy Demand|Industry;Mt BC/yr
Emi|BC|Energy Demand|ResCom;Mt BC/yr;Emissions|BC|Energy Demand|Residential and Commercial;Mt BC/yr
Emi|BC|Energy Demand|Transportation;Mt BC/yr;Emissions|BC|Energy Demand|Transportation;Mt BC/yr
Emi|BC|Energy Demand|Transportation|Aviation;Mt BC/yr;Emissions|BC|Energy Demand|Trans|Avi;Mt BC/yr
Emi|BC|Energy Demand|Transportation|Ground Trans;Mt BC/yr;Emissions|BC|Energy Demand|Trans|Ground;Mt BC/yr
Emi|BC|Energy Demand|Transportation|Intl Shipping;Mt BC/yr;Emissions|BC|Energy Demand|Trans|IntShip;Mt BC/yr
Emi|BC|Energy Supply;Mt BC/yr;Emissions|BC|Energy Supply;Mt BC/yr
Emi|BC|Energy Supply and Demand;Mt BC/yr;Emissions|BC|Energy Supply and Demand;Mt BC/yr
Emi|BC|Land Use;Mt BC/yr;Emissions|BC|Land Use;Mt BC/yr
Emi|BC|Land Use|Agricultural Waste Burning;Mt BC/yr;Emissions|BC|Land Use|Agricultural Waste Burning;Mt BC/yr
Emi|BC|Land Use|Agriculture;Mt BC/yr;Emissions|BC|Land Use|Agriculture;Mt BC/yr
Emi|BC|Land Use|Forest Burning;Mt BC/yr;Emissions|BC|Land Use|Forest Burning;Mt BC/yr
Emi|BC|Land Use|Savannah Burning;Mt BC/yr;Emissions|BC|Land Use|Savannah Burning;Mt BC/yr
Emi|BC|Solvents;Mt BC/yr;Emissions|BC|Solvents;Mt BC/yr
Emi|BC|Waste;Mt BC/yr;Emissions|BC|Waste;Mt BC/yr
Emi|C2F6;kt C2F6/yr;Emissions|C2F6;kt C2F6/yr
Emi|C6F14;kt C6F14/yr;Emissions|C6F14;kt C6F14/yr
Emi|CF4;kt CF4/yr;Emissions|CF4;kt CF4/yr
Emi|CH4;Mt CH4/yr;Emissions|CH4;Mt CH4/yr
Emi|CH4|Energy Demand|ResCom;Mt CH4/yr;Emissions|CH4|Energy Demand|Residential and Commercial;Mt CH4/yr
Emi|CH4|Energy Supply;Mt CH4/yr;Emissions|CH4|Energy Supply;Mt CH4/yr
Emi|CH4|Energy Supply and Demand;Mt CH4/yr;Emissions|CH4|Energy Supply and Demand;Mt CH4/yr
Emi|CH4|Fossil Fuels and Industry;Mt CH4/yr;Emissions|CH4|Fossil Fuels and Industry;Mt CH4/yr
Emi|CH4|Land Use;Mt CH4/yr;Emissions|CH4|Land Use;Mt CH4/yr
Emi|CH4|Other;Mt CH4/yr;Emissions|CH4|Other;Mt CH4/yr
Emi|CH4|Waste;Mt CH4/yr;Emissions|CH4|Waste;Mt CH4/yr
Emi|CO;Mt CO/yr;Emissions|CO;Mt CO/yr
Emi|CO|Energy Demand|Industry;Mt CO/yr;Emissions|CO|Energy Demand|Industry;Mt CO/yr
Emi|CO|Energy Demand|ResCom;Mt CO/yr;Emissions|CO|Energy Demand|Residential and Commercial;Mt CO/yr
Emi|CO|Energy Demand|Transportation;Mt CO/yr;Emissions|CO|Energy Demand|Transportation;Mt CO/yr
Emi|CO|Energy Demand|Transportation|Aviation;Mt CO/yr;Emissions|CO|Energy Demand|Trans|Avi;Mt CO/yr
Emi|CO|Energy Demand|Transportation|Ground Trans;Mt CO/yr;Emissions|CO|Energy Demand|Trans|Ground;Mt CO/yr
Emi|CO|Energy Demand|Transportation|Intl Shipping;Mt CO/yr;Emissions|CO|Energy Demand|Trans|IntShip;Mt CO/yr
Emi|CO|Energy Supply;Mt CO/yr;Emissions|CO|Energy Supply;Mt CO/yr
Emi|CO|Energy Supply and Demand;Mt CO/yr;Emissions|CO|Energy Supply and Demand;Mt CO/yr
Emi|CO|Land Use;Mt CO/yr;Emissions|CO|Land Use;Mt CO/yr
Emi|CO|Land Use|Agricultural Waste Burning;Mt CO/yr;Emissions|CO|Land Use|Agricultural Waste Burning;Mt CO/yr
Emi|CO|Land Use|Agriculture;Mt CO/yr;Emissions|CO|Land Use|Agriculture;Mt CO/yr
Emi|CO|Land Use|Forest Burning;Mt CO/yr;Emissions|CO|Land Use|Forest Burning;Mt CO/yr
Emi|CO|Land Use|Savannah Burning;Mt CO/yr;Emissions|CO|Land Use|Savannah Burning;Mt CO/yr
