lutz,NCDrisc
0--4,age5
5--9,age5
5--9,age6
5--9,age7
5--9,age8
5--9,age9
10--14,age10
10--14,age11
10--14,age12
10--14,age13
10--14,age14
10--14,age15
15--19,age16
15--19,age17
15--19,age18
15--19,age19
20--24,20-24
25--29,25-29
30--34,30-34
35--39,35-39
40--44,40-44
45--49,45-49
50--54,50-54
55--59,55-59
60--64,60-64
65--69,65-69
70--74,70-74
75--79,75-79
80--84,80-84
85--89,85plus
90--94,85plus
95--99,85plus
100+,85plus
