"id","x_IndepVar","regressionname","denominator","quotient","weight","functional_form_income","x_scen","para_1","para_2","para_3","para_4","para_5","para_6","R2","R2adj","start_1","start_2","start_3","start_4","start_5","start_6"
"new","","SSP2","wood","pop","pop","y~(a * x)/(b + x)","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"new","","SSP2","wood","pop","pop","y~a/x + b","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"new","","SSP2","wood","pop","pop","y~a * x^b","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"new","","SSP2","wood","pop","pop","y~a + x^b","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"new","","SSP2","wood","pop","pop","y~a + b*x^c","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"new","","SSP2","intake_pc","pop","pop","y~(a * x)/(b + x)","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"new","","SSP2","intake_pc","pop","pop","y~a/x + b","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"new","","SSP2","intake_pc","pop","pop","y~a * x^b","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"new","","SSP2","intake_pc","pop","pop","y~a + x^b","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"new","","SSP2","intake_pc","pop","pop","y~a + b*x^c","SSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20170830_154826","gdp","SSP2","wood","pop","pop","y~(a * x)/(b + x)","SSP2","1.82706468218207","49818.26973103",NA,NA,NA,NA,"0.0476507535508518","0.0475612722724107",NA,NA,NA,NA,NA,NA
"20170830_154826","gdp","SSP2","wood","pop","pop","y~a/x + b","SSP2","-147.717176240542","0.28201499564418",NA,NA,NA,NA,"0.02993714903458","0.0298460034129541",NA,NA,NA,NA,NA,NA
"20170830_154826","gdp","SSP2","wood","pop","pop","y~a * x^b","SSP2","0.000182234780095694","0.798376015027187",NA,NA,NA,NA,"0.0214270623932236","0.0213351171768742",NA,NA,NA,NA,NA,NA
"20170830_154826","gdp","SSP2","wood","pop","pop","y~a + x^b","SSP2","-1.73954324434296","0.0805888443860258",NA,NA,NA,NA,"0.059887807352669","0.0597994758490847",NA,NA,NA,NA,NA,NA
"20170830_154826","gdp","SSP2","wood","pop","pop","y~a + b*x^c","SSP2","-0.0534215387133978","0.00071629129348294","0.67286142680293",NA,NA,NA,"0.0293195810353528","0.0292283773879822",NA,NA,NA,NA,NA,NA
"20170830_154826","gdp","SSP2","intake_pc","pop","pop","y~(a * x)/(b + x)","SSP2","17.2609708839791","-493.984251287171",NA,NA,NA,NA,"0.0019268613414261","-0.0107069758567837",NA,NA,NA,NA,NA,NA
"20170830_154826","gdp","SSP2","intake_pc","pop","pop","y~a/x + b","SSP2","7377.56863548248","27.0340732917887",NA,NA,NA,NA,"0.0183006281920103","0.0058740538653268",NA,NA,NA,NA,NA,NA
"20170830_154826","gdp","SSP2","intake_pc","pop","pop","y~a * x^b","SSP2","1.03671983769661","0.38256187018712",NA,NA,NA,NA,"0.00100065800856822","-0.0116449032824626",NA,NA,NA,NA,NA,NA
