"Nr","version","scenario","foodgroup","parent","functional_form_income","functional_form_z","functional_merging_add","z","gdp_scen","pop_scen","z_scen","calibration_type","calibration_start","calibration_end","para_1","para_2","para_3","para_4","para_5","para_6","R2","R2adj","start_1","start_2","start_3","start_4","start_5","start_6"
"19","new","SSP1","ruminants","landanimals","y~a + x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","new","SSP1","ruminants","landanimals","y~a + b*x^c",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","new","SSP1","livst_milk","ruminants","y~(a * x)/(b + x)",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","new","SSP1","livst_milk","ruminants","y~a/x + b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","new","SSP1","livst_milk","ruminants","y~a * x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","new","SSP1","livst_milk","ruminants","y~a + x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","new","SSP1","livst_milk","ruminants","y~a + b*x^c",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","new","SSP1","livst_rum","ruminants","y~(a * x)/(b + x)",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","new","SSP1","livst_rum","ruminants","y~a/x + b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","new","SSP1","livst_rum","ruminants","y~a * x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","new","SSP1","livst_rum","ruminants","y~a + x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","new","SSP1","livst_rum","ruminants","y~a + b*x^c",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","new","SSP1","monogastrics","landanimals","y~(a * x)/(b + x)",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
