"Nr","version","scenario","foodgroup","parent","functional_form_income","functional_form_z","functional_merging_add","z","gdp_scen","pop_scen","z_scen","calibration_type","calibration_start","calibration_end","para_1","para_2","para_3","para_4","para_5","para_6","R2","R2adj","start_1","start_2","start_3","start_4","start_5","start_6"
"233.v2017-06-09","v2017-06-09","SSP2","livst_egg","monogastrics","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.272079473214182","-0.0444434100923238",NA,NA,NA,NA,"0.0156458396140674","0.0154707499377269",NA,NA,NA,NA,NA,NA
"234","new","SSP2","livst_egg","monogastrics","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234.v2017-06-09","v2017-06-09","SSP2","livst_egg","monogastrics","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","-0.733252831834675","-0.00974332518800703",NA,NA,NA,NA,"0.0165490391553693","0.0163741101335185",NA,NA,NA,NA,NA,NA
"235","new","SSP2","livst_egg","monogastrics","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235.v2017-06-09","v2017-06-09","SSP2","livst_egg","monogastrics","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.203689133117598","-3.55045175157253e-05","0.675234902215766",NA,NA,NA,"0.0246973762847026","0.0245238966291146",NA,NA,NA,NA,NA,NA
"236","new","SSP2","livst_pig","monogastrics","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236.v2017-06-09","v2017-06-09","SSP2","livst_pig","monogastrics","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.502852347489817","-82.1888111020285",NA,NA,NA,NA,"0.00619230929186414","0.00601553809109767",NA,NA,NA,NA,NA,NA
"237","new","SSP2","livst_pig","monogastrics","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237.v2017-06-09","v2017-06-09","SSP2","livst_pig","monogastrics","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","51.8576346290955","0.501500511006918",NA,NA,NA,NA,"0.00562049277550538","0.00544361986422381",NA,NA,NA,NA,NA,NA
"238","new","SSP2","livst_pig","monogastrics","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238.v2017-06-09","v2017-06-09","SSP2","livst_pig","monogastrics","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.390599526024295","0.0287561828018433",NA,NA,NA,NA,"0.000542145927399267","0.000364369717140822",NA,NA,NA,NA,NA,NA
"239","new","SSP2","livst_pig","monogastrics","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239.v2017-06-09","v2017-06-09","SSP2","livst_pig","monogastrics","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","-0.609461877102171","0.0121873418972009",NA,NA,NA,NA,"0.000458660100273447","0.000280869040170217",NA,NA,NA,NA,NA,NA
"240","new","SSP2","livst_pig","monogastrics","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240.v2017-06-09","v2017-06-09","SSP2","livst_pig","monogastrics","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.468625558606886","8.2154657315109e-05","0.648897705577661",NA,NA,NA,"0.0049265800587805","0.00474958371940992",NA,NA,NA,NA,NA,NA
"241","new","SSP2","plants","totalintake","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241.v2017-06-09","v2017-06-09","SSP2","plants","totalintake","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.768151538051002","-93.9359639647847",NA,NA,NA,NA,"0.184153717943403","0.184009089990548",NA,NA,NA,NA,NA,NA
"242","new","SSP2","plants","totalintake","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242.v2017-06-09","v2017-06-09","SSP2","plants","totalintake","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","115.392194839819","0.754681314927013",NA,NA,NA,NA,"0.230785487662405","0.230649126288121",NA,NA,NA,NA,NA,NA
"243","new","SSP2","plants","totalintake","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243.v2017-06-09","v2017-06-09","SSP2","plants","totalintake","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","1.4972335668954","-0.0731773825841833",NA,NA,NA,NA,"0.416184357634778","0.416080862573199",NA,NA,NA,NA,NA,NA
"244","new","SSP2","plants","totalintake","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244.v2017-06-09","v2017-06-09","SSP2","plants","totalintake","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","no fit","no fit","no fit","no fit","no fit","no fit","no fit","no fit",NA,NA,NA,NA,NA,NA
"245","new","SSP2","plants","totalintake","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245.v2017-06-09","v2017-06-09","SSP2","plants","totalintake","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","no fit","no fit","no fit","no fit","no fit","no fit","no fit","no fit",NA,NA,NA,NA,NA,NA
"246","new","SSP2","processed","plants","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246.v2017-06-09","v2017-06-09","SSP2","processed","plants","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.431284931599438","1521.49825931629",NA,NA,NA,NA,"0.405317261173998","0.405211839663836",NA,NA,NA,NA,NA,NA
"247","new","SSP2","processed","plants","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247.v2017-06-09","v2017-06-09","SSP2","processed","plants","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","-136.165972299096","0.36589258135544",NA,NA,NA,NA,"0.240322900079538","0.24018822943605",NA,NA,NA,NA,NA,NA
"248","new","SSP2","processed","plants","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248.v2017-06-09","v2017-06-09","SSP2","processed","plants","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.0455980242439328","0.220179602254883",NA,NA,NA,NA,"0.418150516746177","0.418047370232571",NA,NA,NA,NA,NA,NA
"249","new","SSP2","processed","plants","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249.v2017-06-09","v2017-06-09","SSP2","processed","plants","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","-1.18435269771406","0.0468324124630884",NA,NA,NA,NA,"0.423705058250996","0.423602896410586",NA,NA,NA,NA,NA,NA
"250","new","SSP2","processed","plants","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250.v2017-06-09","v2017-06-09","SSP2","processed","plants","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","no fit","no fit","no fit","no fit","no fit","no fit","no fit","no fit",NA,NA,NA,NA,NA,NA
"251","new","SSP2","oils","processed","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251.v2017-06-09","v2017-06-09","SSP2","oils","processed","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.387357653363809","-122.32697605506",NA,NA,NA,NA,"0.0891073177656049","0.0889458406015854",NA,NA,NA,NA,NA,NA
"252","new","SSP2","oils","processed","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252.v2017-06-09","v2017-06-09","SSP2","oils","processed","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","100.270081842058","0.373505539472899",NA,NA,NA,NA,"0.101040254513674","0.100880892743512",NA,NA,NA,NA,NA,NA
"253","new","SSP2","oils","processed","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253.v2017-06-09","v2017-06-09","SSP2","oils","processed","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.73422377770658","-0.0678785155003837",NA,NA,NA,NA,"0.0700951962913898","0.0699303487814257",NA,NA,NA,NA,NA,NA
"254","new","SSP2","oils","processed","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254.v2017-06-09","v2017-06-09","SSP2","oils","processed","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","-0.316741420020346","-0.0370981899544182",NA,NA,NA,NA,"0.0680761343845792","0.0679109289483772",NA,NA,NA,NA,NA,NA
"255","new","SSP2","oils","processed","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255.v2017-06-09","v2017-06-09","SSP2","oils","processed","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","no fit","no fit","no fit","no fit","no fit","no fit","no fit","no fit",NA,NA,NA,NA,NA,NA
"256","new","SSP2","alcoholSugar","processed","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256.v2017-06-09","v2017-06-09","SSP2","alcoholSugar","processed","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.631239366179241","218.639666803237",NA,NA,NA,NA,"0.101291967238024","0.101132650089865",NA,NA,NA,NA,NA,NA
"257","new","SSP2","alcoholSugar","processed","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257.v2017-06-09","v2017-06-09","SSP2","alcoholSugar","processed","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","-100.270082527768","0.626494460541168",NA,NA,NA,NA,"0.101040254513674","0.100880892743512",NA,NA,NA,NA,NA,NA
"258","new","SSP2","alcoholSugar","processed","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258.v2017-06-09","v2017-06-09","SSP2","alcoholSugar","processed","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.419287562465813","0.0396284222317136",NA,NA,NA,NA,"0.0629859059219717","0.0628197981229861",NA,NA,NA,NA,NA,NA
"259","new","SSP2","alcoholSugar","processed","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259.v2017-06-09","v2017-06-09","SSP2","alcoholSugar","processed","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","-0.601892872987376","0.0203695727913496",NA,NA,NA,NA,"0.064267677452349","0.0641017968775313",NA,NA,NA,NA,NA,NA
"260","new","SSP2","alcoholSugar","processed","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260.v2017-06-09","v2017-06-09","SSP2","alcoholSugar","processed","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","no fit","no fit","no fit","no fit","no fit","no fit","no fit","no fit",NA,NA,NA,NA,NA,NA
"261","new","SSP2","alcohol","alcoholSugar","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261.v2017-06-09","v2017-06-09","SSP2","alcohol","alcoholSugar","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.210577358951843","-47.4149831421544",NA,NA,NA,NA,"0.0041207223799207","0.0039441793418743",NA,NA,NA,NA,NA,NA
"262","new","SSP2","alcohol","alcoholSugar","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262.v2017-06-09","v2017-06-09","SSP2","alcohol","alcoholSugar","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","6.38704209044854","0.211637661062362",NA,NA,NA,NA,"0.00432663861591239","0.00415013208136472",NA,NA,NA,NA,NA,NA
"263","new","SSP2","alcohol","alcoholSugar","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263.v2017-06-09","v2017-06-09","SSP2","alcohol","alcoholSugar","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.0748726665694391","0.115817727153007",NA,NA,NA,NA,"0.000109136265369371","-6.81179207207006e-05",NA,NA,NA,NA,NA,NA
"264","new","SSP2","alcohol","alcoholSugar","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264.v2017-06-09","v2017-06-09","SSP2","alcohol","alcoholSugar","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","-0.963201132756439","0.0181245316113503",NA,NA,NA,NA,"4.16994785795332e-06","-0.000173102845982154",NA,NA,NA,NA,NA,NA
"265","new","SSP2","alcohol","alcoholSugar","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265.v2017-06-09","v2017-06-09","SSP2","alcohol","alcoholSugar","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.158814559371658","0.000492517710453966","0.508496924022168",NA,NA,NA,"0.00118183803136481","0.00100477400690679",NA,NA,NA,NA,NA,NA
"266","new","SSP2","totalSugar","alcoholSugar","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266.v2017-06-09","v2017-06-09","SSP2","totalSugar","alcoholSugar","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.788185443724679","7.27921843137885",NA,NA,NA,NA,"0.00434881258060963","0.00417230997691898",NA,NA,NA,NA,NA,NA
"267","new","SSP2","totalSugar","alcoholSugar","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267.v2017-06-09","v2017-06-09","SSP2","totalSugar","alcoholSugar","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","-6.38704264773399","0.788362338934476",NA,NA,NA,NA,"0.00432663861591236","0.00415013208136461",NA,NA,NA,NA,NA,NA
"268","new","SSP2","totalSugar","alcoholSugar","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268.v2017-06-09","v2017-06-09","SSP2","totalSugar","alcoholSugar","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.983680222296781","-0.0249918767352537",NA,NA,NA,NA,"3.36883711445176e-06","-0.000173904098741184",NA,NA,NA,NA,NA,NA
"269","new","SSP2","totalSugar","alcoholSugar","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269.v2017-06-09","v2017-06-09","SSP2","totalSugar","alcoholSugar","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","-0.0178411883884473","-0.0243249070859983",NA,NA,NA,NA,"3.15023610716886e-06","-0.000174122738500815",NA,NA,NA,NA,NA,NA
"270","new","SSP2","totalSugar","alcoholSugar","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270.v2017-06-09","v2017-06-09","SSP2","totalSugar","alcoholSugar","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.84118532134599","-0.000492510950075664","0.50849813054273",NA,NA,NA,"0.00118184094853131","0.00100477692459044",NA,NA,NA,NA,NA,NA
"271","new","SSP2","molasses","totalSugar","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271.v2017-06-09","v2017-06-09","SSP2","molasses","totalSugar","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","9.55173511564501e-05","-233.061592785864",NA,NA,NA,NA,"2.44723940491784e-06","-0.000174825859825756",NA,NA,NA,NA,NA,NA
"272","new","SSP2","molasses","totalSugar","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272.v2017-06-09","v2017-06-09","SSP2","molasses","totalSugar","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.195833950042246","5.38505382527976e-05",NA,NA,NA,NA,"0.000291013430565106","0.000113791486482717",NA,NA,NA,NA,NA,NA
"273","new","SSP2","molasses","totalSugar","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273.v2017-06-09","v2017-06-09","SSP2","molasses","totalSugar","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.0108724201065118","-0.523718929273487",NA,NA,NA,NA,"0.000962644003361022","0.000785541121603117",NA,NA,NA,NA,NA,NA
"274","new","SSP2","molasses","totalSugar","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274.v2017-06-09","v2017-06-09","SSP2","molasses","totalSugar","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","-0.998928547246908","-0.000108444937233623",NA,NA,NA,NA,"0.00171457560989868","0.00153760602571329",NA,NA,NA,NA,NA,NA
"275","new","SSP2","molasses","totalSugar","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275.v2017-06-09","v2017-06-09","SSP2","molasses","totalSugar","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","no fit","no fit","no fit","no fit","no fit","no fit","no fit","no fit",NA,NA,NA,NA,NA,NA
"276","new","SSP2","sugar","totalSugar","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276.v2017-06-09","v2017-06-09","SSP2","sugar","totalSugar","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.998366864697608","20.6862698383817",NA,NA,NA,NA,"0.0519734401053062","0.0518053800875975",NA,NA,NA,NA,NA,NA
"277","new","SSP2","sugar","totalSugar","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277.v2017-06-09","v2017-06-09","SSP2","sugar","totalSugar","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","-19.5315868371966","0.998163062739682",NA,NA,NA,NA,"0.0509413830625493","0.0507731400884425",NA,NA,NA,NA,NA,NA
"278","new","SSP2","sugar","totalSugar","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278.v2017-06-09","v2017-06-09","SSP2","sugar","totalSugar","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.931610192949033","0.00716307992499632",NA,NA,NA,NA,"0.0645187479579315","0.0643529118912692",NA,NA,NA,NA,NA,NA
"279","new","SSP2","sugar","totalSugar","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279.v2017-06-09","v2017-06-09","SSP2","sugar","totalSugar","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","-0.0685265807499561","0.00670216357418765",NA,NA,NA,NA,"0.064526917477851","0.0643610828594284",NA,NA,NA,NA,NA,NA
"280","new","SSP2","sugar","totalSugar","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280.v2017-06-09","v2017-06-09","SSP2","sugar","totalSugar","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","no fit","no fit","no fit","no fit","no fit","no fit","no fit","no fit",NA,NA,NA,NA,NA,NA
"281","new","SSP2","sugr_beet","totalSugar","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281.v2017-06-09","v2017-06-09","SSP2","sugr_beet","totalSugar","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","5.60764946358287e-05","3182.3287668368",NA,NA,NA,NA,"0.00599100984427897","0.00581479835869936",NA,NA,NA,NA,NA,NA
"282","new","SSP2","sugr_beet","totalSugar","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282.v2017-06-09","v2017-06-09","SSP2","sugr_beet","totalSugar","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","-0.0418639645423502","4.64653989519226e-05",NA,NA,NA,NA,"0.00372312652244428","0.00354651300117559",NA,NA,NA,NA,NA,NA
"283","new","SSP2","sugr_beet","totalSugar","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283.v2017-06-09","v2017-06-09","SSP2","sugr_beet","totalSugar","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","6.19564105027637e-06","0.195477729690323",NA,NA,NA,NA,"0.00385342580135823","0.00367683537870311",NA,NA,NA,NA,NA,NA
"284","new","SSP2","sugr_beet","totalSugar","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284.v2017-06-09","v2017-06-09","SSP2","sugr_beet","totalSugar","y~a + x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","-1.00006922224917","1.17554477239046e-05",NA,NA,NA,NA,"0.00461832975452044","0.00444187492909154",NA,NA,NA,NA,NA,NA
"285","new","SSP2","sugr_beet","totalSugar","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285.v2017-06-09","v2017-06-09","SSP2","sugr_beet","totalSugar","y~a + b*x^c",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","no fit","no fit","no fit","no fit","no fit","no fit","no fit","no fit",NA,NA,NA,NA,NA,NA
"286","new","SSP2","sugr_cane","totalSugar","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286.v2017-06-09","v2017-06-09","SSP2","sugr_cane","totalSugar","y~(a * x)/(b + x)",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","0.00587221762938301","-180.068855652796",NA,NA,NA,NA,"0.00392384598303298","0.00374726804401215",NA,NA,NA,NA,NA,NA
"287","new","SSP2","sugr_cane","totalSugar","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287.v2017-06-09","v2017-06-09","SSP2","sugr_cane","totalSugar","y~a/x + b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050","19.3776154257646","0.00173662134804942",NA,NA,NA,NA,"0.0506607087517793","0.0504924160215457",NA,NA,NA,NA,NA,NA
"288","new","SSP2","sugr_cane","totalSugar","y~a * x^b",NA,"1",NA,"SSP2","SSP2","SSP2","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
