"REMIND_variable";"JRC_complete";"JRC_Excel";"JRC_spreadsheet";"Weight";"Unit_REMIND";"Unit_JRC";"Factor"
"Emi|CO2|Energy|Demand|Buildings";"Residential|Emissions by fuel - Eurostat structure";"JRC-IDEES-2015_Residential_";"RES_summary";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Energy|Demand|Buildings";"Tertiary|Emissions by fuel - Eurostat structure";"JRC-IDEES-2015_Tertiary_";"SER_summary";1;"Mt CO2/yr";"kt of CO2";0.001
"FE|Buildings";"Residential|Energy consumption by fuel - Eurostat structure";"JRC-IDEES-2015_Residential_";"RES_summary";1;"EJ/yr";"ktoe";4.1868E-05
"FE|Buildings";"Tertiary|Energy consumption by fuel - Eurostat structure";"JRC-IDEES-2015_Tertiary_";"SER_summary";1;"EJ/yr";"ktoe";4.1868E-05
