r20m41;engage;weight;factor
Demand|Food|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock (million t DM/yr);NULL;1
Demand|Material|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock (million t DM/yr);NULL;1
Demand|Seed|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock (million t DM/yr);NULL;1
Demand|Processing|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock (million t DM/yr);NULL;1
Demand|Food|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock|Food (million t DM/yr);NULL;1
Demand|Agricultural Supply Chain Loss|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock|Other (million t DM/yr);NULL;1
Demand|Bioenergy|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock|Other (million t DM/yr);NULL;1
Demand|Domestic Balanceflow|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock|Other (million t DM/yr);NULL;1
Demand|Feed|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock|Other (million t DM/yr);NULL;1
Demand|Material|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock|Other (million t DM/yr);NULL;1
Demand|Seed|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock|Other (million t DM/yr);NULL;1
Demand|Processing|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock|Other (million t DM/yr);NULL;1
Production|+|Crops (Mt DM/yr);Agricultural Production (million t DM/yr);NULL;1
Production|+|Livestock products (Mt DM/yr);Agricultural Production (million t DM/yr);NULL;1
Production|+|Bioenergy crops (Mt DM/yr);Agricultural Production (million t DM/yr);NULL;1
Production|+|Secondary products (Mt DM/yr);Agricultural Production (million t DM/yr);NULL;1
Demand|Bioenergy|+|Crop residues (Mt DM/yr);Agricultural Production (million t DM/yr);NULL;1
Production|+|Bioenergy crops (Mt DM/yr);Agricultural Production|Energy (million t DM/yr);NULL;1
Production|+|Secondary products (Mt DM/yr);Agricultural Production|Energy (million t DM/yr);NULL;1
Demand|Bioenergy|+|Crop residues (Mt DM/yr);Agricultural Production|Energy (million t DM/yr);NULL;1
Production|+|Bioenergy crops (Mt DM/yr);Agricultural Production|Energy|Crops (million t DM/yr);NULL;1
Production|+|Secondary products (Mt DM/yr);Agricultural Production|Energy|Crops (million t DM/yr);NULL;1
Production|+|Bioenergy crops (Mt DM/yr);Agricultural Production|Energy|Crops|2nd generation (million t DM/yr);NULL;1
Production|+|Secondary products (Mt DM/yr);Agricultural Production|Energy|Crops|1st generation (million t DM/yr);NULL;1
Demand|Bioenergy|+|Crop residues (Mt DM/yr);Agricultural Production|Energy|Residues (million t DM/yr);NULL;1
Production|+|Crops (Mt DM/yr);Agricultural Production|Non-Energy (million t DM/yr);NULL;1
Production|+|Livestock products (Mt DM/yr);Agricultural Production|Non-Energy (million t DM/yr);NULL;1
Production|+|Crops (Mt DM/yr);Agricultural Production|Non-Energy|Crops (million t DM/yr);NULL;1
Production|+|Livestock products (Mt DM/yr);Agricultural Production|Non-Energy|Livestock (million t DM/yr);NULL;1
SDG|SDG06|Fertilizer use (Mt N/yr);Fertilizer Use|Nitrogen (Tg N/yr);NULL;1
Prices|Food Price Index (Index 2010=100);Price|Agriculture|Non-Energy Crops and Livestock|Index (Index (2005 = 1));NULL;0.01
Nutrition|Calorie Supply (kcal/capita/day);Food Demand (kcal/cap/day);NULL;1
Nutrition|Calorie Supply|+|Crops (kcal/capita/day);Food Demand|Crops (kcal/cap/day);NULL;1
Nutrition|Calorie Supply|+|Livestock products (kcal/capita/day);Food Demand|Livestock (kcal/cap/day);NULL;1
