generic;1p5DB;factor
Cumulative Cap|Electricity|Coal|w/ CCS (GW);Cumulative Capacity|Electricity|Coal|w/ CCS (GW);1
Cumulative Cap|Electricity|Coal|w/o CCS (GW);Cumulative Capacity|Electricity|Coal|w/o CCS (GW);1
Cumulative Cap|Electricity|Gas (GW);Cumulative Capacity|Electricity|Gas (GW);1
Cumulative Cap|Electricity|Gas|w/ CCS (GW);Cumulative Capacity|Electricity|Gas|w/ CCS (GW);1
Cumulative Cap|Electricity|Gas|w/o CCS (GW);Cumulative Capacity|Electricity|Gas|w/o CCS (GW);1
Cumulative Cap|Electricity|Hydro (GW);Cumulative Capacity|Electricity|Hydro (GW);1
Cumulative Cap|Electricity|Nuclear (GW);Cumulative Capacity|Electricity|Nuclear (GW);1
Cumulative Cap|Electricity|Solar|CSP (GW);Cumulative Capacity|Electricity|Solar|CSP (GW);1
Cumulative Cap|Electricity|Solar|PV (GW);Cumulative Capacity|Electricity|Solar|PV (GW);1
Cumulative Cap|Electricity|Wind (GW);Cumulative Capacity|Electricity|Wind (GW);1
Emi|BC (Mt BC/yr);Emissions|BC (Mt BC/yr);1
Emi|BC|Energy Supply and Demand (Mt BC/yr);Emissions|BC|Energy (Mt BC/yr);1
Emi|BC|Energy Demand|Industry (Mt BC/yr);Emissions|BC|Energy|Demand|Industry (Mt BC/yr);1
Emi|BC|Energy Demand|ResCom (Mt BC/yr);Emissions|BC|Energy|Demand|Residential and Commercial (Mt BC/yr);1
Emi|BC|Energy Demand|Transport (Mt BC/yr);Emissions|BC|Energy|Demand|Transportation (Mt BC/yr);1
Emi|BC|Energy Supply (Mt BC/yr);Emissions|BC|Energy|Supply (Mt BC/yr);1
Emi|BC|Land Use (Mt BC/yr);Emissions|BC|AFOLU (Mt BC/yr);1
Emi|BC|Waste (Mt BC/yr);Emissions|BC|Other (Mt BC/yr);1
Emi|CH4 (Mt CH4/yr);Emissions|CH4 (Mt CH4/yr);1
Emi|CH4|Land Use (Mt CH4/yr);Emissions|CH4|AFOLU (Mt CH4/yr);1
Emi|CH4|Energy Supply and Demand (Mt CH4/yr);Emissions|CH4|Energy (Mt CH4/yr);1
Emi|CH4|Energy Demand|ResCom (Mt CH4/yr);Emissions|CH4|Energy|Demand|Residential and Commercial (Mt CH4/yr);1
Emi|CH4|Energy Supply (Mt CH4/yr);Emissions|CH4|Energy|Supply (Mt CH4/yr);1
Emi|CH4|Waste (Mt CH4/yr);Emissions|CH4|Other (Mt CH4/yr);1
Emi|CO (Mt CO/yr);Emissions|CO (Mt CO/yr);1
Emi|CO|Energy Supply and Demand (Mt CO/yr);Emissions|CO|Energy (Mt CO/yr);1
Emi|CO|Energy Demand|Industry (Mt CO/yr);Emissions|CO|Energy|Demand|Industry (Mt CO/yr);1
Emi|CO|Energy Demand|ResCom (Mt CO/yr);Emissions|CO|Energy|Demand|Residential and Commercial (Mt CO/yr);1
Emi|CO|Energy Demand|Transport (Mt CO/yr);Emissions|CO|Energy|Demand|Transportation (Mt CO/yr);1
Emi|CO|Energy Supply (Mt CO/yr);Emissions|CO|Energy|Supply (Mt CO/yr);1
Emi|CO|Land Use (Mt CO/yr);Emissions|CO|AFOLU (Mt CO/yr);1
Emi|CO2 (Mt CO2/yr);Emissions|CO2 (Mt CO2/yr);1
Emi|CO2|Land Use (Mt CO2/yr);Emissions|CO2|AFOLU (Mt CO2/yr);1
Emi|CO2|Energy (Mt CO2/yr);Emissions|CO2|Energy (Mt CO2/yr);1
Emi|CO2|Fossil Fuels and Industry (Mt CO2/yr);Emissions|CO2|Energy and Industrial Processes (Mt CO2/yr);1
Emi|CO2|Fossil Fuels and Industry|Demand|After IndustryCCS (Mt CO2/yr);Emissions|CO2|Energy|Demand (Mt CO2/yr);1
Emi|CO2|Industry|Direct (Mt CO2/yr);Emissions|CO2|Energy|Demand|Industry (Mt CO2/yr);1
Emi|CO2|Buildings|Direct (Mt CO2/yr);Emissions|CO2|Energy|Demand|Residential and Commercial (Mt CO2/yr);1
Emi|CO2|Transport|Demand (Mt CO2/yr);Emissions|CO2|Energy|Demand|Transportation (Mt CO2/yr);1
Emi|CO2|Fossil Fuels and Industry|Indirect (Mt CO2/yr);Emissions|CO2|Energy|Supply (Mt CO2/yr);1
Emi|CO2|Energy|Supply|Electricity (Mt CO2/yr);Emissions|CO2|Energy|Supply|Electricity (Mt CO2/yr);1
Emi|CO2|Energy|Supply|Heat|w/ couple prod (Mt CO2/yr);Emissions|CO2|Energy|Supply|Heat (Mt CO2/yr);1
Emi|CO2|Energy|Supply|Gases|w/ couple prod|Before IndustryCCS (Mt CO2/yr);Emissions|CO2|Energy|Supply|Gases (Mt CO2/yr);1
