generic;ADVANCE
GDP|MER (billion US$2005/yr);Transport|GDP MER (billion US$2005/yr)
GDP|PPP (billion US$2005/yr);Transport|GDP PPP (billion US$2005/yr)
Population (million);Transport|Population (million)
Price|Final Energy|Liquids (US$2005/GJ);Transport|Fuel Price|Oil (US$2005/GJ)
Price|Final Energy|Liquids (US$2005/GJ);Transport|Fuel Price|Biofuels (US$2005/GJ)
Price|Final Energy|Electricity|Transport (US$2005/GJ);Transport|Fuel Price|Electricity (US$2005/GJ)
Price|Final Energy|Hydrogen|Transport (US$2005/GJ);Transport|Fuel Price|Hydrogen (US$2005/GJ)
Price|Final Energy|Liquids (US$2005/GJ);Transport|Fuel Price|Fossil Synfuel (US$2005/GJ)
Price|Carbon (US$2005/t CO2);Transport|Carbon price (US$2005/t CO2)
Concentration|CO2 (ppm);Transport|CO2 concentration (ppm)
FE|Transport (EJ/yr);Transport|Final Energy|All|All|All (EJ/yr)
FE|Transport|Liquids|Oil (EJ/yr);Transport|Final Energy|All|All|Oil (EJ/yr)
FE|Transport|Liquids|Biomass (EJ/yr);Transport|Final Energy|All|All|Biofuels (EJ/yr)
FE|Transport|Electricity (EJ/yr);Transport|Final Energy|All|All|Electricity (EJ/yr)
FE|Transport|Hydrogen (EJ/yr);Transport|Final Energy|All|All|Hydrogen (EJ/yr)
FE|Transport|Liquids|Coal (EJ/yr);Transport|Final Energy|All|All|Fossil Synfuel (EJ/yr)
FE|Transport|Pass|Road|LDV (EJ/yr);Transport|Final Energy|Road|Passenger|LDV|All (EJ/yr)
FE|Transport|Pass|Road|LDV|Liquids (EJ/yr);Transport|Final Energy|Road|Passenger|LDV|ICE|All|All (EJ/yr)
FE|Transport|Pass|Road|LDV|Liquids|Oil (EJ/yr);Transport|Final Energy|Road|Passenger|LDV|ICE|All|Oil (EJ/yr)
FE|Transport|Pass|Road|LDV|Liquids|Biomass (EJ/yr);Transport|Final Energy|Road|Passenger|LDV|ICE|All|Biofuels (EJ/yr)
FE|Transport|Pass|Road|LDV|Hydrogen (EJ/yr);Transport|Final Energy|Road|Passenger|LDV|ICE|All|Hydrogen (EJ/yr)
FE|Transport|Pass|Road|LDV|Liquids|Coal (EJ/yr);Transport|Final Energy|Road|Passenger|LDV|ICE|All|Fossil Synfuel (EJ/yr)
FE|Transport|Pass|Road|LDV|Electricity (EJ/yr);Transport|Final Energy|Road|Passenger|LDV|Electric|All|All (EJ/yr)
FE|Transport|Pass|Road|LDV|Electricity (EJ/yr);Transport|Final Energy|Road|Passenger|LDV|Electric|All|Electricity (EJ/yr)
FE|Transport|Pass|Road|LDV|Electricity (EJ/yr);Transport|Final Energy|Road|Passenger|LDV|Electric|BEV|Electricity (EJ/yr)
FE|Transport|Pass|Road|LDV|Hydrogen (EJ/yr);Transport|Final Energy|Road|Passenger|LDV|FC|All|All (EJ/yr)
FE|Transport|Pass|Road|LDV|Hydrogen (EJ/yr);Transport|Final Energy|Road|Passenger|LDV|FC|All|Hydrogen (EJ/yr)
FE|Transport|Freight (EJ/yr);Transport|Final Energy|All|Freight|All (EJ/yr)
FE|Transport|Freight|Liquids|Oil (EJ/yr);Transport|Final Energy|All|Freight|Oil (EJ/yr)
FE|Transport|Freight|Liquids|Biomass (EJ/yr);Transport|Final Energy|All|Freight|Biofuels (EJ/yr)
FE|Transport|Freight|Liquids|Coal (EJ/yr);Transport|Final Energy|All|Freight|Fossil Synfuel (EJ/yr)
FE|Transport|Pass (EJ/yr);Transport|Final Energy|All|Passenger|All (EJ/yr)
FE|Transport|Pass|Liquids|Oil (EJ/yr);Transport|Final Energy|All|Passenger|Oil (EJ/yr)
FE|Transport|Pass|Liquids|Biomass (EJ/yr);Transport|Final Energy|All|Passenger|Biofuels (EJ/yr)
FE|Transport|Pass|Liquids|Coal (EJ/yr);Transport|Final Energy|All|Passenger|Fossil Synfuel (EJ/yr)
ES|Transport|Pass (bn pkm/yr);Transport|Service demand|All|Passenger (billion pkm/yr)
