r17m30;AR6DB;factor
New Cap|Electricity|Solar|PV (GW);Capacity Additions|Electricity|Solar|PV (GW/yr);1
New Cap|Electricity|Wind (GW);Capacity Additions|Electricity|Wind (GW/yr);1
Cap|Electricity (GW);Capacity|Electricity (GW);1
Cap|Electricity|Biomass (GW);Capacity|Electricity|Biomass (GW);1
Cap|Electricity|Coal|w/o CCS (GW);Capacity|Electricity|Coal|w/o CCS (GW);1
Cap|Electricity|Coal|w/ CCS (GW);Capacity|Electricity|Coal|w/ CCS (GW);1
Cap|Electricity|Coal (GW);Capacity|Electricity|Coal (GW);1
Cap|Electricity|Gas|w/o CCS (GW);Capacity|Electricity|Gas|w/o CCS (GW);1
Cap|Electricity|Gas|w/ CCS (GW);Capacity|Electricity|Gas|w/ CCS (GW);1
Cap|Electricity|Gas (GW);Capacity|Electricity|Gas (GW);1
Cap|Electricity|Hydro (GW);Capacity|Electricity|Hydro (GW);1
Cap|Electricity|Nuclear (GW);Capacity|Electricity|Nuclear (GW);1
Cap|Electricity|Oil|w/o CCS (GW);Capacity|Electricity|Oil (GW);1
Cap|Electricity|Solar (GW);Capacity|Electricity|Solar (GW);1
Cap|Electricity|Solar|CSP (GW);Capacity|Electricity|Solar|CSP (GW);1
Cap|Electricity|Solar|PV (GW);Capacity|Electricity|Solar|PV (GW);1
Cap|Electricity|Wind (GW);Capacity|Electricity|Wind (GW);1
Cap|Electricity|Storage|Battery (GW);Capacity|Electricity|Storage (GW);1
Tech|Electricity|Biomass|w/ CCS|Capital Costs ($/kW);Capital Cost|Electricity|Biomass|w/ CCS (US$2010/kW);1.10774
Tech|Electricity|Biomass|w/o CCS|Capital Costs ($/kW);Capital Cost|Electricity|Biomass|w/o CCS (US$2010/kW);1.10774
Tech|Electricity|Coal|IGCCC|w/ CCS|Capital Costs ($/kW);Capital Cost|Electricity|Coal|w/ CCS (US$2010/kW);1.10774
Tech|Electricity|Coal|PC|w/o CCS|Capital Costs ($/kW);Capital Cost|Electricity|Coal|w/o CCS (US$2010/kW);1.10774
Tech|Electricity|Gas|CCC|w/ CCS|Capital Costs ($/kW);Capital Cost|Electricity|Gas|w/ CCS (US$2010/kW);1.10774
Tech|Electricity|Gas|CC|w/o CCS|Capital Costs ($/kW);Capital Cost|Electricity|Gas|w/o CCS (US$2010/kW);1.10774
Tech|Electricity|Geotherma|Capital Costs ($/kW);Capital Cost|Electricity|Geothermal (US$2010/kW);1.10774
Tech|Electricity|Hydro|Capital Costs ($/kW);Capital Cost|Electricity|Hydro (US$2010/kW);1.10774
Tech|Electricity|Nuclear|Capital Costs ($/kW);Capital Cost|Electricity|Nuclear (US$2010/kW);1.10774
Tech|Electricity|Solar|CSP|Capital Costs ($/kW);Capital Cost|Electricity|Solar|CSP (US$2010/kW);1.10774
Tech|Electricity|Solar|PV|Capital Costs ($/kW);Capital Cost|Electricity|Solar|PV (US$2010/kW);1.10774
Tech|Electricity|Wind|Capital Costs ($/kW);Capital Cost|Electricity|Wind|Offshore (US$2010/kW);1.10774
Tech|Electricity|Wind|Capital Costs ($/kW);Capital Cost|Electricity|Wind|Onshore (US$2010/kW);1.10774
Tech|Gases|Biomass|biogas|w/o CCS|Capital Costs ($/kW);Capital Cost|Gases|Biomass|w/o CCS (US$2010/kW);1.10774
Tech|Gases|Coal|coalgas|w/o CCS|Capital Costs ($/kW);Capital Cost|Gases|Coal|w/o CCS (US$2010/kW);1.10774
Tech|Hydrogen|Biomass|bioh2c|w/ CCS|Capital Costs ($/kW);Capital Cost|Hydrogen|Biomass|w/ CCS (US$2010/kW);1.10774
Tech|Hydrogen|Biomass|bioh2|w/o CCS|Capital Costs ($/kW);Capital Cost|Hydrogen|Biomass|w/o CCS (US$2010/kW);1.10774
Tech|Hydrogen|Coal|coalh2c|w/ CCS|Capital Costs ($/kW);Capital Cost|Hydrogen|Coal|w/ CCS (US$2010/kW);1.10774
Tech|Hydrogen|Coal|coalh2|w/o CCS|Capital Costs ($/kW);Capital Cost|Hydrogen|Coal|w/o CCS (US$2010/kW);1.10774
Tech|Hydrogen|Electricity|Capital Costs ($/kW);Capital Cost|Hydrogen|Electricity (US$2010/kW);1.10774
