generic;ADVANCE
FE|Other Sector|Electricity (EJ/yr);Final Energy|Other Sector|Electricity (EJ/yr)
FE|Other Sector|Hydrogen (EJ/yr);Final Energy|Other Sector|Hydrogen (EJ/yr)
FE|Other Sector|Heat (EJ/yr);Final Energy|Other Sector|Heat (EJ/yr)
FE|Transport|Liquids (EJ/yr);Final Energy|Transportation|Liquids (EJ/yr)
FE|Transport|Liquids|Oil (EJ/yr);Final Energy|Transportation|Liquids|Oil (EJ/yr)
FE|Transport|Liquids|Biomass (EJ/yr);Final Energy|Transportation|Liquids|Biomass (EJ/yr)
FE|Transport|Liquids|Coal (EJ/yr);Final Energy|Transportation|Liquids|Coal (EJ/yr)
FE|Transport|Hydrogen (EJ/yr);Final Energy|Transportation|Hydrogen (EJ/yr)
FE|Transport|Electricity (EJ/yr);Final Energy|Transportation|Electricity (EJ/yr)
GDP|MER (billion US$2005/yr);GDP|MER (billion US$2005/yr)
GDP|PPP (billion US$2005/yr);GDP|PPP (billion US$2005/yr)
Interest Rate (t+1)/(t-1)|Real (%);Interest Rate|Real (%)
Policy Cost|Consumption Loss (billion US$2005/yr);Policy Cost|Consumption Loss (billion US$2005/yr)
Policy Cost|GDP Loss (billion US$2005/yr);Policy Cost|GDP Loss (billion US$2005/yr)
Policy Cost|Other (billion US$2005/yr);Policy Cost|Other (billion US$2005/yr)
Population (million);Population (million)
Price|Carbon (US$2005/t CO2);Price|Carbon (US$2005/t CO2)
Price|Final Energy|Electricity|Stationary (US$2005/GJ);Price|Final Energy|Industry|Electricity (US$2005/GJ)
Price|Final Energy|Gases (US$2005/GJ);Price|Final Energy|Industry|Gases|Natural Gas (US$2005/GJ)
Price|Final Energy|Heating Oil (US$2005/GJ);Price|Final Energy|Industry|Liquids|Oil (US$2005/GJ)
Price|Final Energy|Solids (US$2005/GJ);Price|Final Energy|Industry|Solids|Coal (US$2005/GJ)
Price|Final Energy|Liquids (US$2005/GJ);Price|Final Energy|Transportation|Liquids|Oil (US$2005/GJ)
Price|Coal|Secondary Level (US$2005/GJ);Price|Primary Energy|Coal (US$2005/GJ)
Price|Coal|Primary Level (US$2005/GJ);Price|Primary Energy|Coal (w/o carbon price) (US$2005/GJ)
Price|Natural Gas|Secondary Level (US$2005/GJ);Price|Primary Energy|Natural Gas (US$2005/GJ)
Price|Natural Gas|Primary Level (US$2005/GJ);Price|Primary Energy|Natural Gas (w/o carbon price) (US$2005/GJ)
Price|Crude Oil|Primary Level (US$2005/GJ);Price|Primary Energy|Oil (w/o carbon price) (US$2005/GJ)
Price|Electricity|Secondary Level (US$2005/GJ);Price|Secondary Energy|Electricity (US$2005/GJ)
PE (EJ/yr);Primary Energy (EJ/yr)
PE|Biomass (EJ/yr);Primary Energy|Biomass (EJ/yr)
PE|Biomass|w/ CCS (EJ/yr);Primary Energy|Biomass|w/ CCS (EJ/yr)
PE|Biomass|w/o CCS (EJ/yr);Primary Energy|Biomass|w/o CCS (EJ/yr)
PE|Coal (EJ/yr);Primary Energy|Coal (EJ/yr)
PE|Coal|w/ CCS (EJ/yr);Primary Energy|Coal|w/ CCS (EJ/yr)
PE|Coal|w/o CCS (EJ/yr);Primary Energy|Coal|w/o CCS (EJ/yr)
PE|Fossil (EJ/yr);Primary Energy|Fossil (EJ/yr)
PE|Fossil|w/ CCS (EJ/yr);Primary Energy|Fossil|w/ CCS (EJ/yr)
PE|Fossil|w/o CCS (EJ/yr);Primary Energy|Fossil|w/o CCS (EJ/yr)
PE|Gas (EJ/yr);Primary Energy|Gas (EJ/yr)
PE|Gas|w/ CCS (EJ/yr);Primary Energy|Gas|w/ CCS (EJ/yr)
PE|Gas|w/o CCS (EJ/yr);Primary Energy|Gas|w/o CCS (EJ/yr)
PE|Geothermal (EJ/yr);Primary Energy|Geothermal (EJ/yr)
PE|Hydro (EJ/yr);Primary Energy|Hydro (EJ/yr)
PE|Non-Biomass Renewables (EJ/yr);Primary Energy|Non-Biomass Renewables (EJ/yr)
PE|Nuclear (EJ/yr);Primary Energy|Nuclear (EJ/yr)
PE|Oil (EJ/yr);Primary Energy|Oil (EJ/yr)
PE|Oil|w/o CCS (EJ/yr);Primary Energy|Oil|w/o CCS (EJ/yr)
PE|Solar (EJ/yr);Primary Energy|Solar (EJ/yr)
PE|Wind (EJ/yr);Primary Energy|Wind (EJ/yr)
Res|Extraction|Coal|Cumulated (EJ);Resource|Cumulative Extraction|Coal (EJ)
Res|Extraction|Gas|Cumulated (EJ);Resource|Cumulative Extraction|Gas (EJ)
Res|Extraction|Oil|Cumulated (EJ);Resource|Cumulative Extraction|Oil (EJ)
SE (EJ/yr);Secondary Energy (EJ/yr)
SE|Electricity (EJ/yr);Secondary Energy|Electricity (EJ/yr)
SE|Electricity|Biomass (EJ/yr);Secondary Energy|Electricity|Biomass (EJ/yr)
